#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 210,1904,120,748,460,3106,,,,,,,,,,,,,,,,,20,15,,,,,20,167,,,10,30,30,102,30,139,10,44,40,184,20,97,20,45,50,145,40,401,10,76,60,482,20,165,20,196,50,404,20,215,,,50,538,20,343,,,50,515,10,143,,,40,217,20,165,,,50,335
52,Capital gains deduction,Déduction pour gains en capital,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 70,118,20,37,80,155,,,,,,,,,,,,,20,41,,,30,52,20,28,,,20,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Additional deductions,Déductions supplémentaires,2012, 14250,197791,6220,51434,23270,308424,30,94,30,102,70,220,290,5752,100,657,460,6851,890,14283,170,1546,1250,17386,1410,27959,180,2431,1880,34575,1790,21412,180,2522,2230,28056,1540,23151,190,2420,2070,31401,1060,20299,150,2841,1540,33462,710,16674,130,1725,1160,26410,350,12195,160,2645,790,22152,670,8129,630,3521,1500,17309,1470,11112,1140,7016,2730,21207,1420,13442,1070,7024,2580,22997,2630,23290,2100,16985,5030,46398
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 20,358,,,40,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65
56,Total deductions from net income,Total des déductions du revenu net,2012, 15100,241261,6500,64051,24930,369771,30,104,30,102,70,230,310,5772,110,665,480,6880,940,14415,190,1583,1320,17556,1470,28670,200,2500,1960,35660,1860,22884,210,2678,2350,29788,1660,28330,230,2746,2260,37135,1190,27127,180,3146,1750,40861,830,20510,170,3733,1390,32633,450,20644,200,11633,1000,40249,750,19545,650,3847,1680,30075,1500,14412,1160,7220,2860,25189,1450,14991,1080,7138,2680,25684,2670,23856,2110,17060,5150,47833
57,Taxable income assessed,Revenu imposable établi,2012, 58220,2161364,23160,421567,96890,3082110,330,2758,260,1224,650,4763,2860,53338,1570,14514,4660,72937,6410,182645,2560,34390,9420,229654,7880,247818,2380,41094,10780,305285,7820,231783,1980,37956,10650,299232,7160,238988,1730,38831,10150,315866,5550,239377,1400,41445,8470,325778,4250,271861,1310,43074,7310,385903,3170,249324,1300,53643,6300,368540,2750,189244,1480,28891,6040,279908,3250,110199,2140,23961,6950,186577,2620,60396,1730,18971,5780,113310,4170,83634,3340,43573,9750,194356
58,Basic personal amount,Montant personnel de base,2012, 48210,521654,17400,188192,67000,724910,250,2684,170,1857,450,4876,2320,25095,1160,12497,3510,37906,5120,55413,1530,16509,6690,72431,6580,71198,1220,13140,7860,85085,7100,76804,960,10302,8140,88048,6280,67959,860,9350,7270,78651,4340,46910,640,6953,5120,55356,2710,29284,570,6114,3400,36762,1440,15536,610,6580,2170,23511,1650,17817,1300,14018,3050,32981,2980,32276,2320,25140,5410,58520,2740,29685,2030,21936,4880,52779,4710,50994,4050,43796,9060,98004
59,Age amount,Montant en raison de l'âge,2012, 10290,67145,8360,55399,19140,125764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890,18657,2310,15207,5300,34513,2710,17647,2020,13324,4830,31654,4690,30841,4040,26868,9010,59598
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 27500,287586,1090,9220,28630,297290,,,,,,,530,5672,30,276,560,5948,2560,27425,90,835,2650,28260,4690,50333,150,1420,4840,51812,5570,59864,160,1532,5740,61423,4970,53371,140,1348,5110,54762,3390,36272,70,649,3460,36986,1990,21054,,,2030,21399,850,8932,40,320,890,9300,610,6140,80,652,710,6863,760,7002,120,825,890,7870,,4812,90,569,,,970,6624,80,509,1060,7160
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 3000,32480,700,7494,3700,39974,10,108,,,10,108,200,2154,20,260,220,2413,430,4643,90,978,520,5621,610,6548,160,1677,760,8225,670,7258,160,1729,830,8987,590,6404,140,1480,730,7884,330,3550,90,916,410,4465,120,1331,30,321,150,1652,30,303,,,40,380,10,117,,,10,138,,,,,,,,,,,,,,,,,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 2450,10216,680,2664,3150,12970,,,,,,,30,74,,,30,90,180,657,40,126,220,788,440,1794,110,427,550,2230,550,2464,200,822,750,3305,520,2406,160,673,680,3089,350,1451,100,414,460,1889,200,702,50,131,250,846,70,210,10,37,80,254,40,139,,,40,148,50,187,,,50,193,30,98,,,30,98,10,35,,,10,41
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 20,133,10,97,40,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,90
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 39680,34122,6680,5788,46720,40290,190,70,,,290,96,2390,1452,1080,417,3530,1910,5680,4442,1580,1027,7340,5525,7160,5865,1110,975,8310,6870,7520,6087,840,857,8390,6981,6670,5578,690,734,7380,6340,4640,4139,520,652,5180,4825,2960,3183,350,501,3340,3728,1530,1986,260,402,1810,2426,720,989,110,173,860,1204,220,319,30,26,270,370,10,13,,,20,14,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 50,55,60,28,110,86,,,,,,,,,,,,,,,,,20,12,,,10,3,20,16,,,,,10,6,10,10,,,20,16,,,,,10,12,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 40600,14885,6910,2376,47910,17422,240,40,150,20,390,61,2550,690,1180,225,3790,934,5860,1995,1690,467,7640,2490,7320,2603,1160,423,8530,3042,7620,2670,840,333,8500,3025,6700,2410,670,283,7400,2703,4650,1758,490,230,5170,2000,3010,1326,330,179,3390,1527,1570,803,260,147,1850,960,750,406,100,58,870,476,240,135,30,9,280,150,70,42,,,80,44,20,8,,,20,10
67,PPIP premiums paid,Cotisations au RPAP,2012, 20,5,20,4,40,9,,,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 35870,39054,6240,6699,42610,46293,230,253,150,157,380,415,2280,2476,1100,1198,3380,3682,5020,5479,1430,1551,6480,7061,6430,7035,1010,1096,7490,8179,6970,7622,750,809,7780,8499,6110,6688,650,698,6840,7475,4200,4591,450,487,4740,5172,2530,2764,300,322,2910,3172,1170,1268,210,224,1440,1553,570,604,110,100,720,744,220,199,50,37,270,239,80,49,20,11,100,63,70,26,30,11,90,40
72,Public transit amount,Montant pour le transport en commun,2012, 600,350,470,247,1070,597,,,,,10,4,90,40,140,61,220,100,220,127,180,95,400,222,140,91,90,51,230,142,50,30,20,11,70,41,30,20,10,7,40,27,20,10,,,30,15,30,14,,,30,19,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 270,163,110,65,390,229,,,,,,,,,,,,,,,,,,,20,10,10,5,40,15,60,33,20,10,90,42,70,46,40,25,110,71,60,42,30,19,90,61,30,22,,,40,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 140,78,60,29,200,107,,,,,,,,,,,,,,,,,,,10,5,,,20,7,20,13,10,6,40,18,40,23,20,12,60,35,40,20,10,5,50,26,20,11,,,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, ,,,,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 3710,6886,2560,4771,6350,11804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,20,37,20,40,20,29,40,73,50,96,30,47,80,146,100,198,110,204,210,411,300,585,270,527,590,1135,800,1485,530,1007,1340,2509,860,1618,510,954,1390,2594,1570,2840,1090,1980,2690,4881
77,Caregiver amount,Montant pour aidants naturels,2012, 30,129,20,114,50,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 170,1271,130,965,300,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,83,,,10,106,20,166,10,98,10,98,30,196,30,234,20,151,50,385,20,166,,,30,234,20,160,20,113,40,273,60,417,50,347,100,764
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 30,251,,,30,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 130,102,150,140,290,244,,,,,,,,,,,10,19,20,21,50,45,70,66,50,33,60,49,110,84,40,29,30,21,70,49,20,11,,,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 580,4754,560,3297,1160,8147,,,20,44,20,74,100,771,100,594,210,1407,170,1162,170,1204,330,2381,150,1681,130,858,280,2567,80,640,60,286,140,925,40,285,30,113,70,398,20,78,20,98,40,178,10,43,20,57,30,109,,,,,20,56,,,,,,,,,,,,,,,,,,,,,,,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 130,700,50,244,180,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,44,,,20,70,30,135,10,70,40,206,50,294,10,77,60,372,30,148,,,30,185,,,,,10,55,,,,,,,,,,,,,,,,,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 880,5276,530,3028,1430,8368,,,,,,,,,,,,,,,,,20,51,20,80,10,32,30,111,30,122,20,74,50,201,20,65,20,65,40,130,20,50,,,30,74,20,81,,,20,102,,,10,56,20,77,30,147,70,372,100,541,110,671,130,769,240,1464,200,1255,120,692,320,1953,420,2752,150,905,570,3664
84,Medical expenses,Montant admissible des frais médicaux,2012, 680,2883,560,2000,1250,5048,,,,,,,,,,,,,40,83,40,37,80,120,30,53,30,62,60,115,30,82,40,141,70,239,20,118,30,92,60,210,40,222,30,96,70,318,40,190,50,168,90,365,60,284,50,317,110,601,60,260,40,173,110,436,120,507,70,180,190,688,90,389,50,207,140,596,140,683,110,514,250,1332
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 55490,154531,19510,43937,76830,201535,300,491,220,317,550,860,2770,5769,1400,2337,4270,8170,6220,15226,1990,3435,8350,18758,7770,22104,1580,3041,9470,25287,8040,24563,1210,2548,9380,27282,7130,21835,1050,2244,8330,24309,5060,14913,800,1603,6030,16777,3420,9078,710,1251,4300,10572,2070,4481,740,1288,2970,6005,2020,4132,1370,2444,3530,6780,3140,9267,2350,6499,5610,16047,2810,8373,2040,5673,4950,14331,4740,14299,4060,11257,9090,26356
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 1830,7119,950,1242,3580,9473,,,,,,,30,26,,,60,44,130,170,80,53,200,226,160,300,120,107,290,451,180,149,110,80,360,247,190,209,110,124,490,413,230,592,100,167,490,875,290,459,100,89,520,628,220,570,110,187,450,890,160,984,70,170,300,1272,100,524,50,68,170,842,,,40,106,110,734,,,50,73,,
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 1750,1992,900,321,3220,2860,,,,,,,30,7,20,4,60,11,120,46,70,13,190,60,150,82,110,28,270,123,180,39,110,21,340,64,190,55,110,30,400,107,220,163,100,46,420,358,280,120,100,23,470,281,210,164,100,51,400,253,150,280,60,47,280,360,90,140,40,16,160,228,,,,,100,202,,,40,16,,
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 55840,156524,19610,44258,77850,204394,300,494,220,317,550,864,2770,5776,1410,2342,4280,8181,6240,15272,2000,3448,8370,18818,7790,22187,1580,3070,9500,25410,8070,24602,1220,2569,9470,27347,7160,21890,1060,2274,8490,24416,5100,15077,810,1650,6180,17135,3480,9198,720,1273,4460,10852,2120,4645,760,1339,3130,6258,2070,4412,1380,2491,3650,7140,3180,9407,2350,6515,5680,16275,2820,8524,2040,5697,4980,14534,4760,15039,4060,11274,9120,27165
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 430,269,290,194,720,463,,,,,,,,,,,,,20,3,,,,,50,13,,,80,24,60,16,30,13,100,29,70,36,40,41,110,77,60,36,50,30,110,66,80,69,40,21,120,90,50,36,40,39,80,75,,,20,27,50,78,10,2,,,20,3,,,,,,,,,,,,
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 20,60,,,30,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 26730,368446,10330,63979,49950,538021,80,175,40,50,150,340,1200,5621,490,688,1860,7208,3040,24602,1100,3023,4520,29925,3320,33707,1070,5040,4840,41994,2920,28804,850,5216,4520,39954,2740,32960,790,5949,4630,46469,2410,40548,710,7233,4410,56531,2400,55003,740,8185,4630,78725,2060,55006,730,11255,4330,80289,1740,42894,720,5122,3930,61461,1640,22993,950,3320,3850,37730,1280,11558,720,2497,3170,21499,1920,14575,1410,6401,5130,35896
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 410,1624,290,725,710,2390,,,,,,,10,52,,,20,72,40,77,30,60,60,138,60,80,60,203,120,289,70,239,30,118,100,357,50,152,30,96,80,248,50,498,40,88,90,599,40,162,30,61,70,223,40,164,20,11,60,175,30,168,,,50,232,10,29,,,30,40,,,,,,,,,,,,
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 10,3,,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, ,,,,20,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, ,,,,30,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 26630,388811,10250,72451,49780,595848,80,191,40,53,150,366,1190,5740,490,725,1850,7562,3040,25224,1100,3262,4510,31329,3310,35390,1060,5468,4810,44925,2900,31236,840,6048,4490,44459,2730,35213,780,6742,4610,51363,2400,42859,700,8353,4400,61538,2390,57801,740,9430,4620,86183,2050,56978,730,12484,4310,87106,1730,45544,720,6045,3910,68944,1640,24197,950,3384,3850,42506,1280,12088,710,2698,3160,25036,1920,16349,1410,7759,5120,44531
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 50,107,60,57,110,169,,,,,,,,,,,,,,,,,20,22,,,10,6,20,31,,,,,10,12,10,20,,,20,31,,,,,10,25,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 50,95,20,28,70,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,39,,,20,52,10,22,,,20,32,10,24,,,20,29
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 19960,142390,3620,14647,27430,174664,60,64,20,10,110,109,860,2655,280,211,1240,3069,2550,11126,690,919,3460,12608,2990,14132,620,1444,3820,16280,2930,10534,460,1346,3700,13314,2880,12782,400,1708,3780,15947,2390,16523,350,1930,3270,20515,2080,22098,310,2342,2940,27923,1600,23794,270,3544,2400,29917,1000,16719,140,906,1530,19870,390,7061,40,155,670,8753,140,2853,20,60,270,3321,80,2051,30,73,240,3038
103,Total tax payable,Total à payer,2012, 31500,531404,10540,87183,54940,770805,90,255,40,63,160,475,1310,8402,520,938,2000,10640,3500,36360,1150,4190,5020,43958,4060,49547,1120,6919,5630,61237,3930,41775,890,7401,5560,57787,3750,48016,820,8461,5680,67343,3140,59402,730,10289,5160,82079,2850,79910,750,11778,5100,114124,2230,80782,730,16037,4500,117044,1800,62271,720,6951,3980,88823,1650,31298,950,3551,3860,51311,1280,14963,720,2767,3160,28389,1920,18424,1410,7837,5120,47598
