#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
84,Medical expenses,Montant admissible des frais médicaux,2012, 4417730,10705945,101830,101343,121970,139703,228540,324090,466820,856115,566770,1154605,491460,1084903,461000,1047428,403430,967942,344110,878658,244310,641622,185340,504073,142640,407843,201820,623904,125590,406520,75900,272269,52430,200526,113950,491539,53860,304680,35980,298181
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 26644730,68895498,2693910,5066044,1904390,3902146,2356220,5410731,2569810,6774694,1992620,5537042,1628860,4539640,1570110,4385501,1501830,4176408,1410010,3903207,1191510,3301650,1029300,2850551,888640,2465475,1448370,4004403,1106620,3058010,820260,2278925,622090,1747375,1222780,3482181,462740,1342832,224660,668684
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 5814840,9104040,12020,3161,18520,6012,59530,22934,165250,133482,289880,236062,323630,247120,373140,292344,397620,355896,407440,364848,375440,345187,345320,332894,316400,318690,547530,609053,453630,528123,364590,454274,297180,398754,634710,1080539,276210,815269,156810,2559400
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 7720,78728,,,100,105,250,184,460,229,600,442,,,540,355,570,502,540,509,510,638,400,528,390,676,630,1475,490,1441,370,1621,290,1313,570,4350,240,6478,150,51024
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 5772340,2489540,10950,714,17540,1388,57950,5285,161910,21466,285940,42941,319790,60367,369330,77296,393830,87922,403950,97825,372490,92855,342810,89878,314270,86293,544490,165963,451510,144135,363280,124314,296310,109343,633330,299650,275930,230800,156750,751106
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 26645750,71385038,2694060,5066758,1904490,3903534,2356320,5416016,2569880,6796160,1992670,5579982,1628980,4600007,1570160,4462797,1501860,4264330,1410050,4001032,1191560,3394505,1029350,2940428,888660,2551767,1448390,4170366,1106630,3202145,820270,2403239,622100,1856718,1222810,3781832,462770,1573632,224750,1419790
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 3658110,8476479,10580,26,8200,60,47120,3341,91090,13913,162870,34370,182740,60084,212660,88792,230230,126559,253130,165316,223880,180769,206350,214041,187670,201715,337380,448234,275590,414126,220330,386879,176480,325368,442240,1257919,236270,1240089,153310,3314879
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 7150,74183,,,,,,,50,24,60,38,60,59,70,80,80,139,110,237,110,328,140,458,130,496,280,1316,330,1923,360,2366,440,3353,2040,20403,2090,29826,790,13133
92,Minimum tax carryover,Report d'impôt minimum,2012, 45270,129755,,,,,320,62,790,376,1400,972,1650,1660,1820,2422,1890,3342,2110,4609,1860,4538,1780,4717,1720,4804,3690,9738,3300,8085,2790,6296,2290,5231,7790,17844,6090,19090,3970,35965
93,Basic federal tax ,Impôt fédéral de base,2012, 16694490,122362350,16590,9713,20480,10637,335560,72983,802960,436612,1192590,1062015,1285620,1798376,1393760,2685512,1401540,3503043,1348270,4194565,1152890,4386309,1001210,4623173,873180,4773604,1429980,9686777,1098830,9401292,816320,8423197,619850,7504472,1219180,20596346,461460,14374566,224250,24819160
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 1179890,952711,210,63,280,84,5790,298,18040,1299,36740,2507,47380,3907,59160,5492,66570,7339,75310,9250,67950,10521,62580,11775,58470,12760,107570,30280,92300,33170,74720,33130,61920,33182,163740,132969,101220,166189,79940,458494
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 149280,24076,,,,,410,32,1280,128,4030,412,5680,627,7560,874,8600,1080,9850,1262,9090,1211,8580,1180,8320,1179,15110,2266,12390,1931,9820,1598,8020,1351,19950,3708,11320,2560,9250,2675
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 43120,92376,,,,,420,44,760,221,940,381,1090,587,1250,790,1230,886,1360,1063,1370,1038,1330,1243,1270,1294,2450,2519,2330,2374,2140,2278,1910,2061,6740,8948,6530,12117,9980,54531
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 340680,151366,20,2,30,4,390,49,2340,436,5840,1419,10920,3032,18610,5507,27640,8764,28000,10010,28570,11358,27360,11721,25940,11486,43640,20413,38180,18971,24050,12840,17080,9509,32240,19426,7930,5161,1900,1259
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 35750,182696,80,1577,20,50,20,74,20,48,,,40,125,40,123,50,92,,,60,224,70,147,120,209,450,626,1460,943,3040,1853,3210,2875,12420,18888,7500,36070,7090,117743
99,Net federal tax,Impôt fédéral net,2012, 16642730,121233442,16190,6504,20010,10227,330310,72997,796440,435039,1184550,1058179,1280820,1791413,1390070,2674063,1398490,3486172,1345710,4174288,1150800,4363518,999410,4598544,871700,4748185,1427510,9633919,1097060,9347275,815020,8375662,618800,7460689,1216500,20442995,459940,14197855,223410,24355919
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1292790,2030467,23450,3045,154880,52865,197050,133169,151940,149259,120390,149759,98220,147708,82430,140306,71690,133984,66180,134750,55150,119119,41850,102896,31230,85578,44820,132906,30760,97311,22520,74310,16290,55460,41250,149362,24380,93945,18300,74736
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 507080,1378243,,,,,,,,,,,,,,,,,,,,,,,6620,1959,53860,48281,102860,93199,78490,127978,55900,130141,124670,488626,52420,297356,32250,190680
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 12608790,51555948,7380,1362,17260,2970,91670,18718,413620,118128,931870,413029,1002490,755383,1040420,1073399,1036390,1372953,1012470,1720294,873300,1802149,761820,1887503,668410,1930623,1111860,3874946,860050,3724332,666680,3486682,517280,3199183,1018280,9028604,390250,6350716,187280,10794973
103,Total tax payable,Total à payer,2012, 17721540,176206237,41750,10919,180540,66112,504760,225006,911110,702611,1394520,1621245,1420510,2694824,1472740,3888116,1450280,4993557,1380490,6029794,1173630,6285267,1017260,6589449,881670,6766857,1440130,13691193,1103440,13263053,818680,12065395,621260,10846038,1221500,30110455,462370,20940037,224910,35416310
