#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
35,Moving expenses,Frais de déménagement,2012, 5900,29869,4290,14718,10190,44589,80,54,90,56,160,111,810,720,800,703,1610,1423,1200,2657,1040,1983,2240,4640,1170,6013,710,2752,1880,8765,800,6088,440,2267,1240,8357,540,4453,330,2005,870,6458,430,3496,320,1941,750,5437,390,3105,260,1412,650,4518,270,2133,190,1114,450,3247,140,820,80,352,220,1172,40,263,30,118,70,381,20,52,,,30,56,20,16,,,30,26
36,Support payments made,Pension alimentaire payée,2012, 12890,165494,280,1567,13170,167063,,,,,,,,,,,,,80,70,,,90,75,130,365,,,150,383,400,1986,30,19,430,2005,840,7208,50,206,890,7414,1450,15381,40,224,1490,15604,2110,28501,60,342,2170,28843,2210,32966,30,406,2240,33371,2070,29603,20,166,2100,29770,1410,20206,,,1430,20347,860,12454,,,860,12496,1320,16747,,,1320,16747
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 131310,403841,105240,204776,236560,608678,330,358,300,283,630,641,990,853,810,491,1800,1345,2100,2108,1550,1272,3660,3379,4060,6527,2610,3302,6670,9829,6180,13663,3730,7002,9910,20666,8460,22488,5270,9635,13730,32143,11930,39530,8240,17025,20170,56565,15950,58394,11770,24265,27720,82659,17860,58977,13530,25490,31390,84495,17270,53328,13400,25864,30670,79194,15980,64672,12420,24868,28400,89540,11580,33936,9480,19477,21060,53413,18610,49006,22130,45802,40740,94808
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 206100,177153,180740,127411,386850,304580,1730,321,1490,229,3230,550,9160,3226,9050,2624,18210,5851,13790,8101,15370,8220,29160,16324,17950,13550,20590,13895,38530,27445,19720,17041,22190,16837,41910,33877,21790,19837,22670,18233,44460,38070,25770,24396,25110,20083,50890,44480,27530,26760,23620,18607,51150,45374,26230,25592,19350,14636,45580,40230,21600,19803,13220,9069,34820,28875,12490,11255,5480,3506,17970,14762,5310,4658,1790,1073,7110,5731,3030,2613,820,399,3850,3012
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, 231030,20137,203400,14438,434450,34577,3320,78,2830,57,6160,135,10550,372,10520,303,21070,675,15660,908,17640,946,33300,1854,20550,1525,23580,1583,44130,3108,22280,1921,24810,1894,47080,3815,24130,2233,24900,2037,49030,4270,28200,2743,27400,2250,55600,4993,29910,3019,25870,2085,55780,5104,28660,2900,21430,1653,50090,4554,23740,2265,14680,1035,38420,3301,14230,1312,6490,413,20710,1724,6240,552,2210,130,8460,682,3570,308,1050,52,4620,359
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 7320,125940,3150,34450,10470,160390,,,,,,,,,,,,,,,20,237,50,526,100,1289,40,525,150,1814,260,4026,100,1129,360,5155,480,8498,160,1945,640,10443,730,12097,290,3948,1020,16046,1000,18625,410,5729,1420,24354,1150,20231,410,4485,1560,24717,1070,16212,380,3205,1450,19418,910,16980,370,3932,1270,20911,640,12735,300,2990,940,15725,950,14898,670,6317,1620,21215
41,Other employment expenses,Autres dépenses d'emploi,2012, 86290,432900,32650,127656,118940,560556,380,598,90,83,480,680,3320,7239,1180,2098,4500,9337,5980,20987,2860,8038,8840,29026,8520,37595,3740,12623,12260,50218,9700,49810,4200,16802,13900,66613,10710,57594,4530,19452,15240,77046,12560,68511,5180,22686,17730,91197,13300,75189,4730,20776,18030,95965,10990,58525,3500,15046,14490,73570,6820,35412,1750,6936,8580,42348,2800,15392,630,2207,3430,17599,850,4448,190,688,1040,5135,350,1601,70,222,420,1823
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 1880,18337,250,2038,2140,20375,,,,,,,,,10,4,,,30,231,20,82,50,313,90,909,20,147,100,1056,110,1235,20,179,130,1414,160,1703,10,88,170,1791,190,2215,20,152,210,2367,250,2868,30,262,270,3131,280,2976,50,522,330,3498,270,2443,40,356,310,2799,200,1699,20,153,220,1852,160,1117,,,160,1187,140,910,,,150,933
43,Other deductions,Autres déductions,2012, 106300,202022,90390,278292,196700,480439,950,962,660,2192,1610,3154,6800,3457,4400,1947,11200,5446,10630,6871,8660,5062,19290,11970,12400,10223,10300,7285,22700,17523,11070,10826,8930,7608,20000,18434,9980,12093,8110,7344,18090,19438,10450,14405,9240,9351,19690,23785,11190,19336,10020,11612,21210,30950,10210,23540,8360,16524,18570,40064,9160,22669,7450,19031,16610,41701,6100,17404,4770,23852,10860,41256,3000,19690,2780,46788,5780,66478,4400,40546,6700,119696,11100,160242
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 1860860,11705158,1643910,7424498,3504860,19129921,41550,13836,30340,8374,71890,22210,113330,163507,100980,122864,214310,286414,146150,468032,154530,488456,300690,956533,183160,807870,195050,844758,378230,1652653,185510,998408,191280,935474,376810,1933891,181660,1079469,178590,882769,360260,1962263,207770,1338818,197470,992008,405250,2330891,223630,1592751,205770,1083648,429410,2676412,200890,1629584,170920,923237,371820,2552853,152340,1329609,107340,529028,259680,1858643,100960,988779,53340,265714,154300,1254494,56560,599460,23820,136412,80380,735876,67360,695034,34480,211754,101850,906789
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 78550,180296,25430,72431,103980,252727,20,17,,,20,17,1470,1306,20,16,1490,1322,3980,3336,120,98,4100,3434,5230,4423,340,275,5570,4698,4910,4373,540,441,5450,4814,4680,4304,640,563,5330,4867,5970,5872,700,667,6670,6538,6290,6680,610,634,6900,7314,5520,7011,540,566,6060,7578,3770,5890,440,616,4210,6506,16030,56411,6190,17632,22210,74043,8750,34825,4890,15495,13650,50321,11940,45847,10400,35429,22340,81276
46,Net income after adjustments,Revenu net après rajustements,2012, 3080630,133840101,3260610,96901543,6343030,230747545,139200,1151268,138500,997905,277890,2149264,235800,4793272,236700,3791253,472990,8584933,230130,7725084,235210,6238197,465740,13964278,258390,10947273,263940,8130542,522590,19078366,250960,12372482,253040,8657906,504160,21030712,246480,13267450,244030,9104573,490610,22372332,283930,16021805,283210,10826722,567190,26849490,308080,17698702,310560,11500657,618670,29200266,287270,15423387,291160,9923932,578460,25347690,248230,11848325,257120,7723676,505370,19572291,209000,8786598,221470,6189121,430490,14975806,147370,5571126,164390,4429861,311780,10001177,235790,8233328,361280,9387198,597110,17620939
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 1010,16723,140,2553,1150,19275,,,,,,,110,897,10,77,120,974,160,1732,20,308,180,2040,160,2016,30,445,190,2461,140,2112,20,401,160,2512,140,2851,20,350,160,3201,150,3230,20,530,170,3760,110,2816,,,120,3106,30,1032,,,40,1185,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 4690,302210,1970,38081,6660,340290,,,,,,,,,20,10,,,70,291,60,179,120,470,260,1947,120,645,380,2592,540,8398,250,2637,790,11035,720,29896,330,3254,1050,33150,860,43713,430,8531,1290,52243,940,71896,420,12397,1360,84293,700,48765,240,7718,940,56483,370,81209,80,1773,450,82983,150,11563,30,861,180,12424,50,3960,,,50,4035,20,551,,,20,552
49,Other payments deductions,Déduction pour autres paiements,2012, 512060,3216694,644800,3653758,1156920,6870784,5400,24833,4980,25736,10380,50587,19620,107050,21850,129224,41470,236285,21180,122618,28950,179544,50130,302185,24260,152531,30290,198350,54550,350904,24570,169342,24260,162376,48840,331731,26830,206296,21570,150305,48400,356624,34250,287767,25560,190547,59810,478320,39500,354977,29370,226645,68860,581621,38240,380273,28290,235092,66530,615380,35430,349668,49610,316899,85040,666582,75100,389632,88220,413034,163330,802682,61410,260718,77750,365146,139170,625898,106280,410990,214130,1060860,320420,1471986
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 3260,33507,2960,17573,6230,51080,,,,,20,14,,,,,80,374,160,1070,130,427,290,1496,260,2171,230,1053,490,3223,310,1952,300,1533,610,3485,390,2745,410,2134,790,4880,400,4240,510,2425,910,6664,490,3663,510,3101,1000,6765,450,3922,370,2720,820,6643,420,4583,260,1663,680,6246,200,6073,120,917,320,6990,70,946,40,680,110,1626,70,1876,40,798,110,2674
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 52870,146402,44580,72003,97450,218458,100,79,70,46,170,125,300,242,260,146,570,388,870,588,580,581,1440,1169,1760,1756,1040,1759,2800,3515,2610,3520,1520,931,4130,4451,3250,6082,2240,1909,5490,7990,4750,11232,3460,3979,8210,15211,6230,14083,4950,6605,11180,20688,7040,21599,5600,8668,12650,30320,7170,20536,5920,9078,13090,29614,6540,25877,5580,9549,12130,35426,4730,14670,4420,8329,9150,22999,7520,26138,8920,20424,16440,46562
52,Capital gains deduction,Déduction pour gains en capital,2012, 7830,595385,3950,233984,11780,829369,70,7938,90,10185,160,18123,100,8902,80,7799,180,16701,190,12108,120,7495,310,19603,330,20068,190,10495,520,30564,470,36734,210,13004,680,49738,590,49306,290,19701,870,69006,800,70060,400,23860,1200,93920,1050,89297,530,32244,1580,121542,1120,89261,570,35473,1690,124734,1150,85765,500,26202,1650,111966,820,52655,330,16454,1160,69109,500,29991,220,8721,720,38712,640,43300,430,22349,1070,65650
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 17450,61367,11100,37459,28550,98827,200,420,140,271,340,691,1010,2855,750,2037,1770,4891,1330,4596,1020,3618,2350,8214,1490,5720,1060,4064,2540,9784,1440,5897,990,3857,2430,9754,1570,6335,1030,3661,2600,9996,2060,7613,1200,4173,3260,11788,2380,8340,1340,4526,3720,12866,2150,7487,1090,3687,3240,11174,1580,5237,840,2730,2410,7967,1030,3200,610,1897,1640,5098,530,1627,360,1091,890,2718,690,2040,660,1846,1350,3886
54,Additional deductions,Déductions supplémentaires,2012, 19460,157329,28150,251371,47630,409387,40,38,40,69,80,106,60,284,70,375,130,661,140,2599,140,2254,280,4875,180,4690,180,4699,360,9419,170,6594,170,6142,340,12736,240,10998,180,6519,410,17525,240,11212,210,8529,450,19811,280,12135,280,10372,560,22971,290,14027,320,9873,610,23900,1090,15572,1420,8816,2510,24400,3580,16565,4210,22006,7790,38598,3980,16799,4750,31873,8740,48713,9180,45815,16190,139845,25370,185673
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 1260,10565,420,2909,1670,13474,,,,,,,,,,,,,20,33,,,20,44,60,552,30,261,90,813,90,801,30,215,120,1016,110,1223,40,260,150,1483,160,1762,70,519,220,2281,210,1437,90,613,310,2049,220,1881,70,413,290,2294,180,1189,40,304,220,1493,100,914,30,160,120,1074,60,338,10,104,70,442,50,405,,,60,453
56,Total deductions from net income,Total des déductions du revenu net,2012, 605070,4542283,718360,4310189,1323520,8853546,5810,33354,5320,36318,11130,69689,21220,120534,22990,139781,44210,260328,24010,145635,30880,194418,54900,340096,28620,191453,32990,221773,61610,413279,30090,235354,27630,191143,57730,426509,33510,315740,25950,188152,59460,503922,43170,441316,31660,243096,74840,684490,50540,559760,37230,296828,87770,857052,49550,568331,36280,303847,85820,872245,46610,563883,57690,367468,104310,931378,84580,506502,96340,464952,180920,971497,68660,329135,84540,416228,153220,745438,118710,531285,228870,1246186,347600,1777621
57,Taxable income assessed,Revenu imposable établi,2012, 2975230,129310306,3166210,92608642,6143180,221923782,137240,1117923,136940,961600,274370,2079596,229170,4672886,232180,3651609,461840,8324891,222720,7579660,230360,6043983,453480,13624597,249520,10756327,257530,7909201,507300,18666029,241850,12137833,245510,8467277,487510,20605421,235580,12952638,234780,8916990,470460,21869907,268140,15581918,269950,10584288,538150,26167090,288840,17140550,294220,11204802,583090,28345798,267320,14856577,274450,9620703,541790,24477584,244220,11286149,250310,7356969,494550,18643381,208710,8281249,220890,5724825,429610,14006118,147130,5242941,163470,4014999,310610,9258054,234780,7703655,355630,8151396,590420,15855316
58,Basic personal amount,Montant personnel de base,2012, 3102230,33410831,3286970,35416767,6392200,68855132,141870,1533367,141040,1523967,283220,3059623,238770,2574040,239020,2575251,478930,5159886,232320,2491371,237110,2537467,470080,5035032,260200,2784460,266070,2849117,526630,5636758,252720,2708344,255440,2740881,508350,5450975,248340,2668009,246800,2655817,495260,5324966,286160,3082716,286650,3090291,572880,6173707,310410,3348525,314340,3392895,624790,6741826,289450,3124455,294650,3181715,584120,6306492,249310,2692173,258190,2788720,507530,5481114,209270,2260099,221690,2394653,430970,4654921,147490,1593260,164510,1777548,312020,3371048,235910,2550013,361480,3908446,597420,6458784
59,Age amount,Montant en raison de l'âge,2012, 563040,3438808,732460,4635409,1295570,8074658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195940,1163007,217110,1351770,413070,2514882,140540,861423,161290,1015052,301850,1876624,226560,1414378,354070,2268587,580650,3683152
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 340840,2285060,97830,675385,438830,2961903,210,1598,290,2264,510,3877,4840,31338,3940,28655,8800,60187,15300,104031,9050,64398,24400,168933,28560,205798,12750,90399,41340,296470,34760,257622,12420,89475,47200,347268,35100,268447,11610,85265,46710,353767,35260,275503,11580,84584,46850,360152,37810,300637,12030,84403,49850,385103,38170,301563,10560,69815,48740,371406,35100,258120,6330,37929,41430,296091,28850,147556,3140,16494,31990,164057,17480,59107,1610,8492,19090,67637,29410,73740,2530,13210,31930,86955
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 45310,447023,177170,1775937,222500,2223061,40,371,900,9580,940,9962,400,4040,7700,80898,8100,84949,1590,16347,15390,160499,16980,176851,4490,46909,27360,286304,31850,333244,8380,87987,37180,386543,45560,474541,10690,108666,37750,382338,48440,491025,10340,99389,30400,292467,40740,391856,5830,53406,14360,131463,20190,184868,2220,19571,3760,32104,5980,51686,760,6486,930,6627,1690,13113,290,2286,520,3042,810,5328,140,907,330,1701,470,2609,140,657,600,2371,740,3029
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 483190,1891270,380300,1346468,863580,3238009,180,412,1360,3237,1540,3651,5100,14500,13180,36538,18280,51051,28910,97916,36480,120300,65410,218269,77040,304572,72260,275295,149320,579944,104180,450029,87770,349301,191960,799381,105850,451975,80530,295472,186390,747490,90160,341607,58470,183822,148630,525448,48730,160644,24160,66599,72890,227254,16450,50174,4970,12818,21430,62997,4690,13892,740,1993,5430,15885,1310,3859,250,707,1560,4566,410,1180,90,256,500,1436,180,511,50,129,230,640
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 1030,3658,910,3543,1930,7201,,,,,,,,,10,67,20,104,,,10,47,,,10,46,,,20,80,20,64,30,160,50,224,40,181,60,344,100,525,90,383,110,435,200,818,130,474,140,609,270,1082,190,657,150,508,340,1165,160,508,130,477,300,985,130,425,90,322,220,746,110,353,50,153,160,506,140,497,110,363,250,860
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 1923090,3024989,1777190,2349060,3700330,5374084,63100,22807,62910,16331,126010,39138,197380,175147,192630,130809,390020,305958,197090,287102,185430,225973,382530,513082,219550,370948,200760,279588,420320,650540,208910,372503,191160,292611,400070,665116,198790,360773,185750,295140,384540,655918,224830,413892,216520,344850,441350,758747,238940,439770,230340,360835,469290,800609,196020,341837,180040,260229,376060,602071,114220,170081,91910,108229,206130,278310,45730,52692,29780,27048,75510,79740,13370,12784,7330,5493,20710,18277,5180,4653,2620,1922,7800,6577
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 206100,177153,180740,127411,386850,304580,1730,321,1490,229,3230,550,9160,3226,9050,2624,18210,5851,13790,8101,15370,8220,29160,16324,17950,13550,20590,13895,38530,27445,19720,17041,22190,16837,41910,33877,21790,19837,22670,18233,44460,38070,25770,24396,25110,20083,50890,44480,27530,26760,23620,18607,51150,45374,26230,25592,19350,14636,45580,40230,21600,19803,13220,9069,34820,28875,12490,11255,5480,3506,17970,14762,5310,4658,1790,1073,7110,5731,3030,2613,820,399,3850,3012
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 1860090,885217,1785540,733747,3645670,1618977,101230,13887,101860,11756,203080,25643,199910,59633,196410,47886,396330,107520,194900,88684,185480,72687,380390,161373,213240,110429,198600,86665,411850,197095,198960,107998,188140,89241,387100,197239,185590,102334,181640,89357,367230,191692,207100,115798,210820,104020,417920,219819,219880,123122,224200,109167,444080,232290,180350,96236,174550,79312,354900,175550,103610,47977,87820,33344,191430,81322,40060,14598,27560,8239,67620,22837,11250,3422,6420,1600,17670,5022,4030,1099,2040,473,6070,1573
67,PPIP premiums paid,Cotisations au RPAP,2012, 1938270,411816,1802470,312551,3740790,724372,101840,5245,102430,4443,204280,9688,198760,23051,195170,18044,393940,41095,195190,37154,183900,28739,379100,65894,216320,49322,198050,35840,414370,85163,205240,50622,188510,38495,393750,89118,195130,49526,183380,39503,378510,89029,220420,56992,213450,45986,433880,102980,234240,60539,227010,47907,461260,108447,192630,46719,178330,34537,370960,81256,113120,22924,91790,14331,204910,37254,45980,7213,30160,3682,76130,10895,13870,1831,7580,773,21450,2604,5540,678,2710,270,8250,949
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, 63500,13190,47480,9294,110990,22486,1760,77,1470,42,3230,118,7250,643,5980,403,13240,1046,7440,1154,5990,886,13430,2040,7670,1598,5880,1153,13560,2751,7290,1731,5520,1288,12810,3019,7000,1729,5090,1275,12090,3004,7490,1943,5760,1482,13250,3425,7390,1960,5630,1461,13020,3421,5570,1390,3690,855,9260,2244,3020,674,1750,345,4770,1019,1160,221,560,87,1710,308,330,52,110,14,450,67,140,19,50,3,190,22
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, 234140,25969,205890,18615,440050,44587,3430,102,2900,74,6330,176,10980,483,10870,394,21850,877,16100,1174,18060,1222,34160,2397,20930,1968,23920,2042,44850,4010,22650,2478,25070,2441,47710,4919,24390,2880,25120,2625,49520,5505,28480,3536,27640,2900,56120,6436,30180,3891,26090,2687,56270,6578,28930,3739,21620,2131,50550,5870,23910,2919,14800,1334,38710,4253,14310,1691,6520,532,20830,2223,6280,711,2230,168,8510,879,3590,397,1050,67,4650,464
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 6340,19017,300,891,6640,19908,60,186,,,70,210,650,1953,40,111,690,2064,770,2298,40,132,810,2430,860,2565,50,162,910,2727,940,2832,50,156,1000,2988,880,2637,40,123,920,2760,820,2448,30,84,840,2532,670,1995,20,48,680,2043,400,1212,,,410,1224,170,516,,,180,534,90,267,,,90,270,30,75,,,30,78,10,33,,,20,48
71,Canada employment amount,Montant canadien pour emploi,2012, 2156490,2261509,1985030,2093134,4141640,4354762,121200,127253,121600,127514,242810,254774,211140,227468,208300,223696,419460,451179,204800,221527,197040,211450,401880,433009,226300,245058,212030,227409,438350,472486,215330,233038,200270,215278,415610,448324,205230,222062,193510,208468,398750,430540,232000,251106,225120,242896,457130,494011,247470,267528,240780,259365,488250,526896,213090,224811,196490,207061,409580,431878,143020,140189,112950,111883,255970,252078,74180,62982,47480,40416,121660,103399,31850,22446,16920,11708,48780,34155,30880,16041,12550,5989,43430,22033
72,Public transit amount,Montant pour le transport en commun,2012, 234440,180221,261110,191167,495640,371437,7650,3510,10790,4825,18450,8335,26790,14967,39520,21276,66340,36255,27880,20318,32400,23162,60300,43499,31270,25452,28130,21825,59410,47285,27740,23429,23870,19284,51620,42719,25010,21183,23960,19632,48970,40816,27350,22771,27820,23455,55170,46227,24860,21013,27190,23447,52050,44460,17020,14572,20620,17714,37650,32286,9440,7910,12100,9815,21540,17725,4390,2651,5850,3048,10240,5699,2120,1057,3390,1487,5510,2543,2950,1388,5470,2197,8410,3585
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 217020,99329,152820,63272,369840,162604,20,6,10,3,30,9,270,51,630,118,900,170,5170,1140,7470,1696,12640,2836,27910,8976,28140,9203,56060,18179,53810,24387,43140,18586,96950,42974,58230,30425,39240,18791,97470,49217,44530,22267,24410,10953,68940,33220,19600,8898,8220,3344,27820,12243,5540,2375,1290,485,6830,2860,1400,580,180,67,1580,647,390,161,50,19,440,180,110,45,20,5,130,50,50,18,10,2,60,20
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 56480,21610,41360,14768,97840,36378,,,,,10,3,50,12,130,29,180,41,800,191,1440,320,2240,511,5330,1450,6140,1675,11480,3125,13270,4568,11400,3861,24670,8429,16260,6613,11710,4636,27970,11248,12720,5394,7340,2965,20070,8359,5660,2402,2600,1046,8260,3448,1740,706,480,192,2220,898,440,192,80,28,520,220,160,62,20,7,170,69,30,14,,,40,16,,,,,30,11
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 31350,138704,22240,93295,53580,232004,100,464,40,148,150,612,4520,19930,3350,12761,7860,32691,9850,42652,6970,28266,16820,70923,7070,31183,4640,19687,11710,50870,3810,17138,2490,10982,6300,28120,2160,9981,1520,6893,3680,16874,1560,7174,1200,5355,2760,12529,1090,4882,900,4045,1990,8927,630,2844,600,2785,1240,5628,330,1489,320,1431,640,2920,140,640,140,635,280,1275,40,192,30,125,70,318,30,136,40,182,70,317
76,Pension income amount,Montant pour revenu de pension,2012, 552910,1049137,633490,1187891,1186430,2237089,190,296,190,317,380,612,160,220,190,289,340,511,110,122,160,225,270,349,150,214,300,478,450,692,330,551,720,1309,1050,1862,1110,2102,1830,3493,2940,5597,2740,5258,5450,10504,8190,15762,8440,16505,19040,37176,27480,53685,48390,95383,66880,131245,115270,226633,94410,185946,106170,207366,200590,393329,122650,233362,124610,237175,247260,470547,101940,191824,101630,189314,203570,381147,172280,317355,206350,369001,378640,686362
77,Caregiver amount,Montant pour aidants naturels,2012, 21900,103796,19250,85303,41150,189099,,,,,10,53,,,,,120,551,190,824,200,991,390,1815,480,2180,430,1993,910,4173,1030,4919,960,4364,1990,9283,2170,10431,1940,9185,4110,19616,3780,17874,3160,14590,6950,32464,4500,21050,3780,16464,8280,37514,3800,17503,3330,13937,7130,31441,2600,12068,2320,9559,4920,21627,1530,7387,1420,6124,2960,13511,850,4300,690,3116,1530,7415,900,4924,980,4711,1870,9636
