#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, ,,10,21,20,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 120,217,80,123,200,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,,,,,,,10,24,,,20,29,20,44,20,49,40,93,20,51,20,21,40,72,20,40,,,40,52,,,,,,,,,,,,,,,,,,
52,Capital gains deduction,Déduction pour gains en capital,2012, 10,1033,,,20,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 9790,55823,8440,43922,18230,99751,170,343,160,304,330,647,650,2295,580,1872,1230,4168,1070,5231,950,4186,2010,9416,1150,6604,1060,5485,2220,12090,1020,6443,920,5034,1940,11477,1110,7193,930,5401,2040,12594,1130,7276,960,5749,2090,13025,1160,7209,990,5589,2150,12798,940,5860,810,4727,1750,10593,670,3826,520,2824,1190,6651,390,1985,270,1434,660,3419,160,797,130,613,280,1410,180,761,160,704,340,1464
54,Additional deductions,Déductions supplémentaires,2012, 20,68,10,135,30,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 11440,73077,9970,59122,21410,132206,200,418,200,432,400,850,870,3327,790,3099,1660,6426,1230,6357,1100,5099,2330,11456,1280,7489,1170,6390,2460,13879,1110,7483,1000,5865,2120,13349,1240,8826,1030,6460,2260,15285,1240,8358,1040,6580,2280,14939,1270,8480,1080,7117,2350,15596,1030,7589,890,5730,1920,13326,780,5950,610,4258,1390,10208,530,3725,370,2448,910,6172,250,1929,270,2135,520,4065,400,3146,420,3508,830,6654
57,Taxable income assessed,Revenu imposable établi,2012, 15380,865043,14820,630402,30200,1495797,920,7273,910,6216,1820,13490,1610,42061,1610,30833,3220,72894,1730,81725,1750,61676,3480,143401,1670,98152,1710,78514,3380,176666,1420,93725,1450,71336,2870,165060,1550,105666,1410,73486,2960,179152,1520,109815,1430,83599,2950,193414,1520,113306,1430,82453,2940,195759,1180,94984,1110,67742,2300,163079,910,60588,760,39736,1670,100324,640,35549,470,18860,1110,54409,300,12232,320,8156,610,20388,440,9967,460,7795,900,17762
58,Basic personal amount,Montant personnel de base,2012, 15920,171720,15240,164439,31160,336170,950,10240,940,10173,1890,20413,1700,18383,1670,18019,3370,36402,1800,19424,1780,19110,3580,38534,1710,18458,1760,18909,3470,37367,1460,15711,1490,16037,2950,31747,1590,17187,1460,15746,3050,32933,1560,16873,1470,15921,3040,32794,1560,16827,1480,16011,3040,32838,1250,13535,1160,12492,2410,26038,950,10207,780,8463,1730,18670,640,6954,470,5053,1110,12007,300,3203,320,3474,620,6677,440,4718,470,5032,900,9751
59,Age amount,Montant en raison de l'âge,2012, 1170,6786,1160,6976,2330,13762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,2653,400,2151,890,4804,260,1498,300,1871,570,3369,420,2635,460,2954,870,5589
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 1420,10855,520,3853,1940,14708,,,,,,,50,402,40,325,90,727,140,1083,60,368,200,1450,170,1199,60,499,230,1699,170,1301,80,551,240,1853,200,1583,70,564,280,2147,160,1295,60,502,230,1797,160,1313,50,390,220,1703,130,1080,50,329,170,1409,90,777,30,209,130,986,80,483,10,66,90,549,40,193,,,40,212,,,,,,
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 260,2716,1540,16297,1800,19013,,,40,443,40,464,10,108,220,2404,230,2512,10,117,260,2805,270,2921,30,278,260,2734,280,3012,40,422,230,2410,270,2832,50,548,210,2154,260,2702,50,572,160,1610,210,2183,30,274,100,1057,130,1330,20,216,30,328,50,544,10,105,20,143,30,248,,,10,118,10,151,,,,,,,,,,,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 2760,11369,2820,10683,5580,22053,,,50,101,50,114,70,212,310,870,380,1082,260,992,400,1479,650,2471,440,1861,540,2361,980,4222,500,2339,490,2156,990,4495,550,2457,450,1827,1000,4284,450,1775,320,1092,770,2867,310,1118,180,542,490,1660,120,390,50,145,170,535,40,118,20,68,60,186,20,74,10,24,30,98,,,,,,,,,,,,
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 11790,20469,10690,17549,22480,38018,330,153,310,125,630,278,1300,1532,1160,1157,2470,2689,1520,2595,1400,2091,2910,4686,1500,2782,1410,2459,2910,5240,1250,2380,1240,2200,2490,4580,1370,2548,1190,2148,2550,4696,1340,2568,1220,2284,2570,4852,1290,2483,1200,2240,2490,4724,990,1957,900,1751,1890,3708,630,1119,490,856,1120,1975,250,342,170,227,420,569,20,10,20,10,30,19,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 560,557,450,387,1010,944,,,,,,,10,7,20,6,30,13,30,31,60,35,90,66,40,32,60,52,90,84,60,51,50,35,110,86,70,72,60,53,130,124,80,74,40,48,120,122,90,100,60,56,150,157,60,67,50,47,110,115,70,85,50,42,120,127,40,35,20,13,50,48,,,,,,,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 12090,7600,11150,6637,23240,14237,670,126,640,107,1320,233,1380,633,1230,494,2600,1127,1550,988,1430,806,2990,1794,1500,1029,1430,912,2930,1941,1250,873,1240,814,2490,1687,1340,917,1180,795,2520,1712,1310,920,1200,828,2510,1748,1240,871,1170,811,2420,1683,920,668,870,627,1790,1295,570,377,480,308,1050,685,260,152,190,107,450,259,80,38,50,21,130,59,30,8,30,5,60,14
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 110,342,30,81,140,423,,,,,,,,,,,10,39,20,72,,,30,93,30,75,,,30,90,20,51,,,20,57,10,33,,,10,42,20,45,,,20,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 13410,14402,12280,13127,25700,27529,830,869,800,831,1630,1700,1480,1587,1380,1453,2860,3040,1640,1762,1540,1650,3180,3412,1600,1726,1510,1629,3110,3355,1330,1434,1300,1407,2630,2841,1430,1550,1260,1356,2690,2906,1390,1508,1290,1399,2680,2907,1370,1483,1260,1360,2630,2843,1040,1130,960,1033,2000,2163,710,752,550,587,1260,1339,360,367,250,264,610,631,140,140,100,96,240,237,110,94,80,61,190,154
72,Public transit amount,Montant pour le transport en commun,2012, 170,50,240,67,410,117,10,2,30,6,40,8,40,7,70,12,100,20,20,6,30,5,50,12,20,6,30,7,50,14,,,30,9,40,11,20,6,20,8,40,14,20,9,10,5,40,14,10,5,10,4,30,8,10,4,10,6,20,10,,,,,,,,,,,,,,,,,,,,,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 930,504,690,344,1620,848,,,,,,,,,10,5,20,6,40,13,60,20,100,33,150,66,140,56,290,122,210,116,170,83,380,199,220,143,140,85,360,228,160,88,110,65,270,153,90,53,50,26,150,78,40,18,,,50,22,,,,,,,,,,,,,,,,,,,,,,,,
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 270,135,170,81,450,216,,,,,,,,,,,,,,,,,10,2,30,12,30,10,60,22,60,22,40,17,100,40,80,44,50,26,130,70,50,30,40,19,80,49,30,16,10,6,40,22,10,8,,,10,8,,,,,,,,,,,,,,,,,,,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 130,582,80,346,210,928,,,,,,,,,,,10,50,40,155,20,74,50,229,30,147,30,131,60,278,30,123,,,40,158,10,65,,,20,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 970,1862,1060,2029,2040,3890,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,10,16,,,20,34,20,41,20,44,40,74,60,118,60,110,70,136,130,246,130,246,180,342,310,588,190,378,220,431,410,809,250,486,210,407,460,892,140,254,130,250,270,504,170,311,170,324,340,635
77,Caregiver amount,Montant pour aidants naturels,2012, 30,206,40,195,70,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,69,10,60,20,129,10,61,,,20,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 170,1292,160,1201,330,2493,,,,,,,20,121,,,20,181,20,110,,,20,140,10,83,,,20,136,,,10,75,20,129,,,10,91,20,151,10,83,10,106,30,189,,,10,106,20,170,20,166,30,196,50,362,20,158,20,166,40,324,20,181,20,121,40,302,,,,,,,20,151,20,117,40,268
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 80,777,100,971,180,1748,,,,,,,,,,,,,,,,,,,,,,,10,179,,,20,188,30,278,10,127,20,148,30,275,20,210,10,104,30,314,20,150,20,209,40,360,,,,,20,139,,,,,10,110,,,,,,,,,,,,,,,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 400,243,640,393,1040,636,,,,,,,70,25,60,26,130,52,120,76,200,143,320,219,120,79,200,132,330,211,50,35,90,45,130,80,20,16,40,24,60,40,,,20,8,30,11,,,10,9,20,12,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 1010,6079,1510,8581,2520,14661,60,224,50,183,110,407,320,2109,450,2993,770,5102,250,1864,350,2385,600,4249,140,924,210,1372,350,2296,80,389,140,605,220,994,60,242,100,338,160,580,40,116,70,282,110,399,40,133,70,234,110,367,10,32,50,136,60,168,,,20,47,30,84,,,,,,,,,,,,,,,,,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 200,972,150,742,350,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55,20,95,40,151,50,243,50,256,100,500,50,244,50,235,100,479,50,241,20,83,60,324,30,126,,,30,152,,,,,,,,,,,,,,,,,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 430,1945,380,1832,810,3776,,,,,,,,,40,117,60,164,50,156,40,159,80,315,40,170,30,169,70,340,40,169,40,165,80,334,40,205,30,152,70,357,30,125,,,50,200,20,73,20,85,,,20,91,30,174,50,265,30,91,60,342,90,433,50,242,30,156,80,398,30,159,10,76,40,236,70,414,30,143,100,557
84,Medical expenses,Montant admissible des frais médicaux,2012, 350,995,520,1122,860,2117,,,,,,,10,19,30,51,50,69,30,41,40,62,60,103,20,47,60,135,90,182,30,68,70,110,90,178,40,105,70,169,110,274,50,185,60,114,110,299,60,94,60,111,120,205,40,158,50,127,90,285,40,179,30,96,70,275,10,26,20,81,30,107,,,,,,,,,,,20,81
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 15920,39373,15240,38694,31160,78068,950,1760,940,1804,1890,3564,1700,3789,1670,4209,3370,7998,1800,4423,1780,4691,3580,9114,1710,4354,1760,4765,3470,9119,1460,3849,1490,4052,2950,7901,1590,4197,1460,3882,3050,8079,1560,4029,1470,3730,3040,7759,1560,3830,1480,3551,3040,7382,1250,3019,1160,2693,2410,5713,950,2191,780,1783,1730,3974,640,1817,470,1325,1110,3143,300,841,320,892,620,1733,440,1274,470,1316,900,2590
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 2320,3617,2460,2914,4770,6531,20,2,10,1,30,3,60,23,80,21,140,44,170,239,210,164,390,404,250,273,290,183,550,457,240,235,290,190,530,425,280,339,260,344,530,682,270,434,300,322,570,756,320,691,320,395,650,1085,280,448,300,585,580,1033,200,412,200,289,400,701,120,313,100,190,220,503,50,85,60,107,100,192,50,123,50,124,100,247
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 2290,1001,2430,794,4720,1795,10,1,,,20,1,60,6,,,130,11,170,66,210,44,370,110,250,74,290,48,540,122,240,64,280,49,520,113,280,93,250,94,530,187,270,120,300,87,570,207,320,193,320,108,640,301,280,124,300,163,580,287,200,115,200,79,400,194,120,88,100,53,220,140,50,23,60,30,100,53,50,35,50,35,100,69
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 15920,40374,15240,39488,31160,79863,950,1760,940,1804,1890,3564,1700,3794,1670,4214,3370,8008,1800,4490,1780,4735,3580,9224,1710,4428,1760,4813,3470,9241,1460,3913,1490,4101,2950,8013,1590,4290,1460,3977,3050,8266,1560,4149,1470,3817,3040,7966,1560,4024,1480,3659,3040,7683,1250,3143,1160,2855,2410,6000,950,2306,780,1862,1730,4168,640,1905,470,1378,1110,3283,300,864,320,922,620,1786,440,1308,470,1351,900,2659
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 1260,3379,1000,1631,2250,5010,,,,,,,30,48,30,37,,,90,67,,,160,103,70,80,90,48,160,128,,,80,129,160,503,120,272,80,207,190,479,150,432,120,194,270,626,200,556,160,222,360,778,200,665,160,320,360,985,150,478,110,236,250,714,100,277,60,69,150,346,40,30,30,63,60,93,30,91,30,70,60,161
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 10,112,,,20,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 11060,128178,9480,80470,20540,208738,160,201,100,112,260,313,880,3852,650,1853,1520,5705,1300,10606,1060,6685,2360,17291,1370,14141,1230,9849,2600,23990,1180,14170,1100,9209,2280,23380,1260,16647,1070,9889,2330,26536,1270,17512,1140,12173,2400,29684,1270,18400,1140,12160,2410,30559,1010,15727,920,9906,1930,25723,710,9496,580,5514,1290,15009,380,5179,290,2086,670,7265,150,1603,110,707,260,2310,130,644,90,328,220,972
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 360,208,280,32,640,239,,,,,,,,,,,10,,,,,,,,,,20,1,40,2,,,20,2,50,21,,,,,,,40,4,30,2,70,6,50,3,50,3,90,6,,,50,8,,,,,30,6,,,,,20,1,40,9,10,3,10,5,20,8,,,,,,
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 150,37,80,14,230,51,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,10,3,,,,,10,3,10,3,,,20,5,30,8,10,2,40,10,30,7,10,3,40,9,30,7,10,2,40,9,10,4,,,20,4,,,,,,,,,,,10,2
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 10,22,,,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 20,50,,,20,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 11040,127911,9460,80420,20510,208421,160,201,100,112,260,313,870,3851,640,1853,1510,5705,1300,10596,1060,6684,2350,17280,1370,14137,1230,9848,2600,23985,1180,14148,1100,9206,2280,23354,1260,16603,1070,9886,2330,26489,1260,17502,1140,12169,2400,29671,1270,18387,1140,12151,2410,30538,1010,15662,920,9894,1930,25646,710,9422,580,5505,1290,14927,380,5162,290,2083,670,7245,150,1598,110,701,260,2299,130,641,90,327,220,968
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 560,1113,450,774,1010,1887,,,,,,,10,13,20,12,30,25,30,62,60,69,90,132,40,65,60,104,90,169,60,102,50,69,110,171,70,143,60,105,130,249,80,148,40,96,120,244,90,201,60,113,150,314,60,134,50,95,110,229,70,170,50,84,120,253,40,70,20,27,50,96,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 450,1201,180,446,630,1647,,,,,,,10,9,,,10,11,30,40,10,7,40,47,30,36,,,40,44,30,41,,,40,57,30,45,10,14,40,59,30,41,,,40,54,30,52,10,15,40,66,30,40,,,30,43,20,23,,,20,33,150,607,80,231,230,838,40,178,20,88,70,265,20,88,20,42,40,129
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 10790,55004,9260,33480,20050,88527,140,69,90,37,220,106,830,1519,610,709,1430,2229,1270,4404,1040,2700,2300,7104,1360,6011,1220,4092,2580,10103,1170,6169,1090,3849,2260,10018,1240,7255,1060,4153,2300,11408,1250,7600,1120,5146,2360,12747,1250,7974,1130,5120,2380,13094,990,6759,900,4130,1890,10932,690,4051,560,2286,1250,6336,370,2245,270,850,640,3095,140,693,100,283,250,977,110,254,80,125,190,379
103,Total tax payable,Total à payer,2012, 11240,185229,9610,115123,20850,300484,160,272,100,150,270,422,880,5393,660,2576,1540,7969,1300,15103,1090,9460,2390,24563,1380,20249,1260,14051,2640,34301,1200,20460,1120,13141,2320,33600,1290,24047,1090,14159,2380,38205,1300,25291,1150,17425,2450,42716,1300,26613,1150,17399,2450,44012,1030,22596,920,14122,1950,36850,720,13665,590,7884,1310,21550,390,8084,290,3191,680,11274,150,2473,110,1072,260,3544,130,983,90,494,220,1477
