#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
92,Minimum tax carryover,Report d'impôt minimum,2012, 8520,22724,,,,,,,140,61,240,157,290,272,300,382,320,527,350,686,320,783,300,795,320,828,670,1646,590,1311,540,1068,430,908,1560,3068,1290,3647,820,6575
93,Basic federal tax ,Impôt fédéral de base,2012, 2005300,21087659,1010,207,2830,960,35390,7694,77370,45165,109860,108538,124550,178292,130270,256354,130770,334452,133430,424833,120460,469878,110470,523200,100640,562233,176860,1217175,142300,1235794,116640,1217754,101050,1243947,233960,4101250,108600,3543015,48840,5616918
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 142290,146400,,,,,510,26,1480,104,3270,205,4500,323,5310,418,5950,565,6690,697,6250,798,5990,843,5580,971,10960,2016,9440,2347,8190,2301,7480,2642,23980,14067,20440,28639,16250,89434
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 20310,3443,,,,,,,150,16,560,60,760,89,950,125,1000,135,1150,155,1070,153,1000,144,1020,150,1780,288,1500,238,1220,190,1110,179,2980,543,2030,424,2010,554
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 4390,8380,,,,,110,3,30,4,110,21,40,19,70,32,80,49,80,52,110,55,90,63,100,94,230,226,190,172,180,189,170,195,660,870,800,1218,1360,5119
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 50,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 7650,30497,10,93,,,,,,,,,,,,,,,,,10,20,20,22,20,37,100,64,360,217,760,415,780,591,2880,3810,1460,6448,1220,17900
99,Net federal tax,Impôt fédéral net,2012, 2000260,20934250,980,219,2750,964,34990,7674,76870,45056,109100,108266,124000,177876,129870,255796,130460,333738,133150,423992,120250,468888,110310,522169,100480,561043,176640,1214753,142150,1233070,116550,1215106,100970,1240989,233740,4085913,108340,3513076,48660,5525663
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 161430,267348,2190,340,13860,4573,19400,12932,16930,16246,15270,18398,13210,19288,11430,19080,9970,17800,9770,19473,8180,16470,6300,14473,4710,11999,6980,19552,4680,14031,3600,11116,2610,8445,6470,21829,3540,12549,2320,8754
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 63790,178075,,,,,,,,,,,,,,,,,,,,,,,1100,351,6010,6393,11110,10901,9310,15016,7210,15920,17320,63292,7130,38980,4600,27217
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 1795610,8848436,900,105,1830,396,2360,828,18340,2507,69900,24513,97320,60880,108460,105792,118440,154059,128430,212230,117760,236595,109850,262901,99650,278934,175510,597715,141360,598498,116130,585442,100660,586453,232960,1830309,107740,1418255,48040,1892025
103,Total tax payable,Total à payer,2012, 2067250,30228314,3330,666,16540,5939,48580,21446,84000,63827,113690,151199,127610,258067,133370,380682,134280,505617,136880,655709,123050,721972,113100,799553,101760,852337,178270,1838426,142960,1856505,116960,1826687,101200,1851812,234150,6001348,108640,4982862,48880,7453659
