#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 160,2249,60,899,220,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,51,20,416,,,30,465,30,618,,,40,993,30,395,20,224,50,619,30,315,,,40,337,,,,,,,20,331,10,176,30,507
41,Other employment expenses,Autres dépenses d'emploi,2012, 7660,33459,4260,11725,11920,45184,20,14,,,30,19,230,505,140,190,370,695,480,1489,370,823,850,2312,680,2668,460,1059,1140,3727,910,3895,570,1626,1480,5521,1140,5467,620,1938,1760,7405,1200,5585,670,1916,1870,7502,1060,4740,570,1695,1620,6435,890,4505,430,1276,1320,5781,670,2929,290,765,960,3695,280,1230,100,342,380,1572,80,353,20,68,100,421,20,80,,,30,100
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 480,4535,180,1610,670,6144,,,,,,,,,,,10,57,20,116,,,20,157,30,279,10,115,40,394,40,386,10,108,50,494,50,426,20,221,70,647,60,643,20,173,80,817,70,665,30,224,90,890,80,796,40,367,120,1163,70,664,30,204,100,868,50,352,20,114,60,466,20,114,,,20,127,,,,,10,66
43,Other deductions,Autres déductions,2012, 8320,9447,7080,8802,15390,18249,30,14,20,4,40,18,470,267,320,121,790,389,750,770,660,350,1410,1120,780,665,760,433,1540,1098,810,808,750,562,1560,1370,900,1260,790,606,1690,1866,870,853,780,684,1650,1537,920,1003,840,544,1760,1547,850,1098,800,869,1650,1967,1090,1053,790,794,1890,1848,480,605,300,679,780,1284,170,345,100,1212,280,1557,180,705,170,1944,350,2649
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 113960,738154,90720,401794,204680,1139960,1260,437,800,201,2060,639,5210,8647,4280,5755,9490,14403,8040,27928,8150,25951,16190,53879,9210,45540,9250,41714,18470,87254,10620,62336,10090,53230,20710,115566,12350,78134,11330,57110,23680,135244,13480,85848,12210,60116,25680,145964,13980,92557,11820,56975,25800,149532,13350,105008,10270,49509,23610,154517,11600,96474,6820,28547,18420,125033,7300,67915,2980,12352,10280,80267,3670,32952,1200,5218,4870,38170,3910,34377,1520,5115,5430,39492
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 12570,24880,1590,3517,14160,28396,,,,,,,,,20,27,,,1000,1459,90,84,1090,1543,1000,1489,90,94,1090,1583,1060,1668,90,129,1150,1797,1310,2178,100,134,1410,2311,1400,2278,90,117,1490,2395,1460,2422,90,136,1550,2558,1370,2407,110,168,1480,2574,1330,2660,100,164,1430,2824,1420,4885,350,941,1760,5826,410,1490,180,575,590,2064,330,1209,280,951,610,2159
46,Net income after adjustments,Revenu net après rajustements,2012, 205410,9629975,215090,6228012,420570,15858429,8190,68518,7910,54715,16110,123233,14640,374989,14590,247569,29250,622575,13980,593045,14770,428141,28760,1021195,14100,759038,15120,492755,29230,1251812,15430,917670,16330,559470,31770,1477152,17690,1093397,18210,674299,35900,1767698,19670,1179428,20110,749947,39790,1929519,20510,1212998,20380,721121,40890,1934255,20360,1125356,20430,665377,40780,1790747,19390,950124,19640,549068,39040,1499206,15820,603976,16150,392648,31970,996625,10440,323266,10810,249103,21250,572444,15190,428170,20650,443797,35830,871967
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 20,607,,,30,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 140,7121,40,358,180,7479,,,,,,,,,,,,,,,,,,,10,137,10,72,20,208,20,195,,,30,232,20,232,,,30,294,,,,,30,1059,,,,,,,20,583,,,20,584,10,93,,,,,,,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 38680,242031,49760,314712,88440,556752,310,969,330,1682,640,2651,1120,5391,1570,12397,2690,17789,1060,6558,1860,16421,2930,22979,1190,8558,1740,15682,2930,24240,1400,11013,1760,15817,3160,26830,1680,15017,1930,17899,3610,32916,2190,20918,2220,20291,4410,41209,2490,25253,2200,20771,4700,46024,2650,27739,2160,20355,4810,48104,2790,28282,4900,33636,7690,61918,6750,31341,7920,35495,14670,66836,5690,23875,6420,28795,12100,52670,9360,37117,14760,75471,24120,112589
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 120,1097,120,824,240,1921,,,,,,,,,,,,,,,,,,,10,70,10,72,30,142,10,116,10,77,30,193,10,130,20,112,30,242,20,165,20,130,40,296,,,20,83,30,219,20,197,20,130,40,328,10,65,20,183,30,248,,,,,10,83,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 1460,2764,1120,1654,2580,4418,,,,,,,,,,,,,,,,,,,40,60,20,6,70,66,70,41,40,21,100,62,90,181,70,43,160,224,130,144,90,84,220,228,170,296,130,222,300,518,210,364,180,225,400,589,240,522,200,216,440,738,220,548,150,293,380,841,120,211,100,192,220,403,130,340,120,316,250,656
52,Capital gains deduction,Déduction pour gains en capital,2012, 360,31047,140,11431,500,42477,,,,,,,,,,,,,,,,,10,823,20,2153,,,20,2446,20,1231,,,20,1959,20,1409,,,30,2415,20,2477,,,30,3231,40,3470,20,717,70,4187,60,5940,20,1993,90,7933,80,7218,20,1729,100,8946,50,3518,20,1163,70,4681,20,1727,,,30,1975,20,1706,10,1726,30,3432
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 8300,48897,4710,20625,13000,69522,50,144,30,70,80,214,420,1602,230,753,650,2355,720,3887,500,1922,1220,5808,820,4998,480,2034,1290,7032,880,5809,500,2326,1380,8135,1020,6784,620,2982,1650,9765,1030,6756,600,2908,1630,9664,920,5605,530,2392,1450,7998,880,5093,440,1877,1320,6971,770,4282,340,1504,1110,5786,400,2088,190,890,590,2978,200,943,110,455,310,1398,200,905,130,514,330,1419
54,Additional deductions,Déductions supplémentaires,2012, 630,2870,1000,6770,1630,9641,10,27,,,20,38,90,364,110,451,190,815,50,331,80,381,140,712,40,244,40,220,80,464,30,110,60,256,100,366,40,156,60,247,100,404,50,377,50,207,100,583,30,123,50,335,80,457,20,187,,,50,332,30,216,40,501,70,718,70,164,110,856,170,1021,70,126,100,1011,170,1138,130,445,250,2148,380,2593
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 40,343,,,40,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,212,,,20,212,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 49020,336777,56230,356427,105250,693215,370,1139,370,2138,740,3278,1620,7597,1880,13644,3500,21241,1840,11202,2440,19467,4280,30669,2110,16348,2300,18378,4400,34726,2380,18516,2360,19263,4740,37778,2850,23934,2690,22350,5530,46284,3420,31836,2950,24468,6370,56303,3660,39600,2930,24585,6590,64185,3810,40317,2820,24728,6640,65054,3890,40695,5460,37798,9350,78495,7370,37961,8290,38703,15660,76664,6000,27046,6640,30715,12650,57761,9710,40586,15090,80191,24790,120777
57,Taxable income assessed,Revenu imposable établi,2012, 198020,9293847,207610,5871823,405710,15166102,8050,67378,7810,52577,15860,119955,14160,367399,14230,233929,28410,601345,13500,581845,14350,408687,27870,990541,13540,742708,14550,474391,28100,1217118,14770,899160,15540,540220,30330,1439392,16820,1069512,17230,651977,34050,1721492,18550,1147605,18930,725500,37490,1873251,19230,1173422,19220,696592,38450,1870150,18980,1085101,19290,640666,38270,1725772,19010,909706,18970,511302,37980,1421021,15810,566154,16120,353974,31930,920128,10430,296241,10790,218389,21220,514705,15170,387616,20590,363617,35760,751234
58,Basic personal amount,Montant personnel de base,2012, 206710,2229487,217420,2346266,424250,4576863,8340,90161,8110,87650,16450,177862,14780,159352,14730,158986,29540,318633,14100,151504,14830,159392,28960,311139,14190,152242,15230,163659,29430,316064,15520,166841,16490,177604,32030,344607,17810,191888,18480,199283,36300,391225,19820,213883,20420,220450,40250,434366,20680,223292,20830,224884,41510,448204,20540,221888,20910,225854,41450,447770,19470,210353,19770,213615,39240,423990,15830,171001,16160,174643,31990,345644,10440,112860,10820,116941,21260,229833,15190,164222,20650,223304,35840,387526
59,Age amount,Montant en raison de l'âge,2012, 39850,249355,47060,304719,86910,554089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14760,88367,15910,101518,30670,189886,10160,64192,10700,69122,20850,133329,14930,96796,20450,134078,35390,230874
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 22930,149828,4490,28656,27430,178587,20,167,,,30,249,240,1780,90,736,340,2527,840,5932,270,1988,1110,7953,1520,11143,370,2686,1890,13839,2020,15342,380,2865,2410,18235,2130,16435,440,3081,2580,19538,2100,16185,550,3858,2650,20043,2250,17758,690,4478,2940,22236,2800,22199,690,4026,3480,26226,3000,21955,520,2568,3520,24523,2580,12081,210,869,2790,12949,1390,4126,,,1510,4682,2050,4725,160,863,2210,5587
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 2150,21520,12310,127073,14460,148604,,,120,1314,130,1346,40,358,1050,11261,1090,11619,100,959,1790,18974,1890,19933,230,2331,2110,22344,2340,24685,440,4564,2500,26180,2940,30744,520,5359,2280,23532,2810,28890,460,4537,1570,15625,2020,20162,200,1886,550,5103,740,6989,100,883,140,1228,240,2111,40,313,80,671,120,984,20,156,40,292,60,448,,,30,182,30,239,10,84,50,367,60,451
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 27600,101335,24400,83879,52010,185246,,,160,395,170,430,280,814,1400,3876,1690,4690,1440,4699,2820,9258,4270,13969,3930,14785,4410,16348,8340,31146,6180,24954,5550,21041,11720,45995,7020,27410,5290,18640,12310,46050,5320,18356,3400,10574,8720,28932,2360,7245,1080,2947,3440,10192,720,2115,220,562,940,2677,230,669,50,163,280,832,70,183,20,46,90,229,20,50,,,20,71,,,,,10,33
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 300,1517,200,1066,500,2583,,,,,,,,,,,,,,,,,,,,,,,,,10,66,,,20,91,10,71,20,86,30,157,30,166,30,162,60,328,60,301,40,214,90,514,50,235,30,130,70,365,50,253,30,136,80,389,40,154,10,70,50,224,20,107,,,30,151,30,139,30,146,50,285
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 125500,199301,115290,143002,240800,342306,3600,1342,3330,810,6920,2152,12120,11607,11000,7269,23130,18876,12020,17964,11230,13877,23250,31841,12200,20805,11290,15388,23490,36193,13200,23721,12380,17389,25570,41110,14740,26810,14250,20847,28990,47658,15860,28608,15820,23024,31670,51634,15940,28387,15230,21096,31170,49483,13970,23487,12510,15402,26480,38889,9330,13804,6830,6821,16160,20625,2400,2690,1370,1050,3770,3740,130,76,60,30,190,106,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 10530,10036,6830,4417,17360,14453,110,33,40,7,150,40,410,290,230,100,640,390,530,442,490,294,1020,736,750,732,720,478,1470,1211,920,936,840,569,1760,1505,1250,1399,930,638,2190,2037,1480,1560,940,645,2410,2205,1510,1509,970,632,2480,2141,1560,1438,860,554,2420,1993,1450,1287,630,413,2070,1699,520,388,160,76,690,464,50,22,20,10,70,32,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 132400,78140,121120,57854,253520,135995,6320,1027,6030,773,12350,1800,12740,5072,11730,3429,24470,8500,12320,7135,11610,5679,23930,12815,12330,8004,11530,6125,23860,14128,13260,8970,12520,6827,25780,15797,14780,10076,14340,8116,29110,18193,15930,10772,15900,8952,31830,19725,16060,10678,15370,8250,31430,18928,14100,8856,12630,6100,26730,14955,9850,5471,7070,2793,16920,8263,3780,1741,1990,678,5760,2419,770,283,350,114,1120,398,170,55,70,19,240,74
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 4310,12941,190,570,4500,13511,30,81,,,30,87,210,633,20,45,230,678,260,765,20,63,280,828,350,1044,20,54,370,1098,500,1497,20,69,520,1566,740,2205,30,87,760,2292,720,2145,40,105,750,2250,600,1806,20,66,620,1872,470,1401,10,42,480,1443,310,918,,,310,942,120,359,,,120,365,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 143220,150634,132610,139200,275830,289837,7500,7936,7140,7562,14640,15498,13180,14238,12440,13365,25610,27603,12650,13720,12150,13096,24800,26816,12590,13653,12060,12951,24640,26604,13560,14722,13070,14069,26630,28790,15110,16411,14880,16056,29990,32467,16330,17748,16510,17841,32840,35590,16600,17966,16100,17332,32700,35300,15320,16063,14330,14638,29650,30700,12230,11645,9740,8718,21970,20363,5570,4896,3210,2789,8770,7686,1590,1178,700,581,2290,1759,1000,458,310,203,1310,661
72,Public transit amount,Montant pour le transport en commun,2012, 960,383,1150,483,2120,867,50,16,90,26,140,42,220,81,310,109,530,191,160,64,170,64,330,129,100,43,100,44,200,88,70,32,70,32,140,63,70,27,80,40,150,67,90,35,80,38,160,73,60,24,80,39,140,62,50,22,80,48,130,70,40,19,40,19,80,38,20,7,30,12,50,20,10,5,10,5,20,9,20,9,30,8,50,17
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 12530,7228,8910,4726,21450,11954,,,,,,,10,3,40,12,60,15,290,96,460,152,750,248,1550,669,1450,607,3000,1276,3260,1937,2480,1368,5740,3305,3650,2332,2520,1543,6170,3875,2540,1531,1490,815,4030,2346,930,504,390,201,1320,705,220,112,50,23,270,134,70,36,20,4,80,40,20,6,,,20,7,,,,,,,,,,,,
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 4740,2539,3380,1666,8120,4205,,,,,,,,,10,3,10,3,70,23,120,35,190,58,480,192,430,161,910,353,1180,571,930,447,2100,1018,1450,858,1060,580,2520,1437,1050,616,640,352,1690,968,390,208,160,77,540,285,90,44,20,10,110,54,40,21,,,40,23,,,,,,,,,,,,,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 1620,7700,980,4485,2610,12185,,,,,,,220,1064,120,537,340,1601,580,2736,380,1734,950,4471,370,1752,210,975,570,2727,190,894,100,457,290,1351,120,556,70,288,190,844,70,326,50,214,120,540,50,219,30,117,70,336,20,83,20,87,40,170,,,,,20,81,,,,,,,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 34720,66171,38370,73257,73090,139432,20,29,20,36,40,65,30,36,20,30,50,66,20,26,20,36,50,62,30,50,30,46,60,95,60,97,90,171,150,268,160,302,220,436,380,737,380,727,590,1154,970,1881,850,1645,1610,3159,2460,4804,3440,6764,5200,10216,8650,16980,6810,13341,7940,15549,14750,28892,8300,15942,7960,15269,16250,31211,6030,11444,5440,10207,11470,21653,8600,15768,9220,16948,17820,32717
77,Caregiver amount,Montant pour aidants naturels,2012, 3110,15072,1900,8583,5010,23655,,,,,,,,,10,55,,,50,264,30,109,80,373,80,424,40,205,120,629,190,852,80,417,270,1269,390,1796,220,1013,610,2809,600,2909,330,1503,930,4412,590,2829,390,1704,990,4532,450,2235,320,1449,770,3684,390,1919,250,1080,640,2999,190,936,120,528,310,1464,80,377,50,230,120,608,70,395,60,290,130,686
78,Disability amount ,Montant pour personnes handicapées,2012, 7510,56433,6090,45805,13590,102238,120,1017,70,602,190,1619,240,1772,150,1156,390,2928,210,1540,160,1169,360,2708,260,1957,180,1381,440,3337,270,2053,270,2029,540,4081,350,2623,330,2480,680,5103,490,3686,460,3447,950,7133,670,5025,600,4504,1270,9529,970,7241,820,6164,1790,13406,1290,9656,890,6688,2180,16344,970,7256,580,4373,1550,11629,620,4650,340,2502,950,7153,1060,7958,1240,9311,2300,17268
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 3100,29888,2430,23596,5530,53485,,,,,,,20,158,20,187,40,345,60,558,70,732,130,1291,160,1800,210,2419,380,4219,360,4122,360,4067,720,8189,530,5773,420,4589,950,10362,540,5638,410,4056,950,9694,470,4196,310,2730,780,6926,350,2879,250,1935,590,4814,290,2289,190,1376,470,3665,170,1322,90,681,270,2004,80,580,40,309,120,889,80,572,70,516,150,1088
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 6630,3052,9280,5341,15910,8393,,,,,40,3,1240,416,1200,483,2440,899,2060,983,3070,1967,5130,2949,1780,897,2670,1582,4450,2479,940,461,1410,743,2350,1204,370,171,530,341,900,512,110,74,220,140,330,214,60,19,90,50,150,69,30,24,50,24,80,47,10,5,20,7,30,11,,,,,10,7,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 13040,60645,14290,69228,27330,129873,700,2541,520,1673,1220,4214,4590,24240,4650,24691,9240,48931,2770,15722,3420,20887,6190,36609,1450,7490,1740,8630,3190,16119,950,3763,1190,4459,2140,8222,840,2589,1070,3819,1900,6408,720,2021,800,2600,1520,4621,470,1213,510,1581,980,2794,320,730,240,594,560,1323,170,237,110,249,280,486,40,91,30,36,70,127,,,,,20,14,,,,,10,5
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 6280,29281,3880,17427,10160,46712,,,,,,,,,,,,,,,,,,,,,,,10,46,90,343,120,408,200,750,550,2108,470,1865,1020,3973,1780,7967,1350,5939,3130,13905,2100,10281,1200,5771,3300,16052,1160,5700,550,2597,1720,8297,450,2158,140,652,590,2810,110,503,30,121,130,625,40,144,,,40,158,,,10,32,20,71
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 13650,76295,8170,41721,21830,118084,,,,,,,,,,,,,250,944,140,551,390,1512,300,1119,190,855,500,1996,330,1389,210,1010,550,2419,360,1478,250,1238,610,2720,400,1993,290,1646,690,3640,380,1913,410,2375,780,4288,560,2837,720,4167,1270,7004,1020,4944,1710,9325,2730,14269,2510,13829,1770,8838,4280,22667,2770,16309,1230,5979,4000,22288,4690,29260,1190,5528,5880,34789
84,Medical expenses,Montant admissible des frais médicaux,2012, 35140,79122,55000,116133,90170,195272,100,90,190,121,290,212,620,619,1160,1133,1800,1758,1140,1322,2300,3080,3450,4405,1550,2484,3360,5414,4920,7904,2140,3894,4510,8179,6650,12073,2900,5829,5560,10796,8460,16626,3470,7405,6530,12690,10000,20095,3640,7270,6710,12853,10350,20123,4080,8694,7120,14581,11200,23275,4710,10492,6790,14579,11500,25071,4130,10111,4170,9173,8290,19285,2710,6705,2340,5210,5040,11915,3950,14207,4280,18323,8220,32530
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 206710,545693,217420,547382,424260,1093282,8340,15678,8110,15161,16450,30848,14780,33443,14730,34155,29540,67644,14110,34111,14830,37975,28960,72133,14190,36549,15230,39358,29430,75941,15520,42304,16490,43566,32030,85902,17810,48682,18480,47911,36300,96605,19820,52334,20420,50375,40250,102714,20680,51926,20830,48024,41510,99955,20540,50389,20910,46565,41460,96958,19470,46773,19770,42824,39240,89601,15830,49808,16160,48163,31990,97971,10440,33487,10820,31809,21260,65305,15190,50211,20650,61494,35840,111705
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 47980,55006,38240,31682,86220,86688,70,11,60,17,130,27,610,247,590,163,1200,409,1450,757,1670,566,3120,1323,2390,1535,2250,882,4630,2417,3250,2264,2710,1398,5970,3662,4170,3738,3300,2016,7470,5753,4900,4626,4070,2717,8970,7343,5460,5788,4360,3365,9810,9153,6140,7720,4780,3972,10920,11692,6960,10733,4680,5025,11640,15758,5110,6783,3120,3346,8230,10129,3080,3937,2120,2335,5190,6272,4400,6867,4530,5881,8940,12748
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 50,273,50,23,100,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,10,6,,,,,10,6,,,,,10,7,10,251,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 47300,14387,37750,8375,85060,22762,60,3,60,4,120,7,570,64,570,40,1140,105,1400,198,1620,142,3020,340,2320,407,2200,222,4520,629,3170,601,2640,360,5810,961,4090,1006,3230,524,7320,1531,4800,1244,4010,708,8810,1952,5370,1564,4310,885,9680,2450,6080,2100,4730,1047,10820,3147,6910,2350,4650,1345,11560,3695,5060,1840,3100,893,8160,2733,3070,1064,2110,623,5180,1687,4400,1947,4530,1581,8930,3528
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 206710,560081,217420,555757,424260,1116043,8340,15681,8110,15165,16450,30854,14780,33507,14730,34195,29540,67749,14110,34309,14830,38117,28960,72473,14190,36956,15230,39580,29430,76570,15520,42904,16490,43927,32030,86863,17810,49688,18480,48435,36300,98136,19820,53577,20420,51083,40250,104666,20680,53490,20830,48910,41510,102404,20540,52489,20910,47611,41460,100105,19470,49123,19770,44169,39240,93296,15830,51647,16160,49056,31990,100703,10440,34550,10820,32432,21260,66992,15190,52157,20650,63076,35840,115233
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 16120,29229,12790,16955,28910,46192,80,192,80,267,160,459,320,647,220,582,540,1229,440,508,340,391,780,899,610,803,520,710,1130,1513,870,1650,710,1252,1580,2901,1270,2355,1050,1878,2320,4232,1720,2923,1410,1701,3130,4624,2120,3287,1760,2011,3880,5298,2450,3204,2000,2259,4450,5464,2460,5285,1820,1897,4280,7182,1800,3191,1170,1084,2970,4275,910,2463,720,1357,1630,3829,1060,2720,990,1566,2050,4286
