#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
36,Support payments made,Pension alimentaire payée,2012, 6720,113922,180,2033,6890,115955,,,,,,,20,,,,,,,,,,120,385,300,1983,20,47,320,2030,600,5516,30,147,630,5663,860,10196,30,295,900,10491,1080,16133,30,383,1110,16516,1180,23409,20,638,1200,24047,1030,25446,10,270,1050,25716,650,16394,10,152,670,16546,380,7646,,,390,7655,180,3137,,,190,3221,300,3680,,,310,3683
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 182200,445875,136960,231241,319180,677153,500,281,420,225,920,506,2430,917,1760,565,4190,1482,5680,3976,3470,1690,9150,5666,9100,10963,5330,5169,14430,16132,11740,20716,6850,8651,18590,29367,14220,31464,8930,13644,23160,45108,17290,47184,11940,21566,29230,68759,22750,69225,16580,32694,39320,101921,24760,79130,17770,40241,42530,119395,21040,67883,15690,30717,36730,98600,17190,48632,13260,24801,30450,73433,12470,25326,10070,15327,22540,40653,23030,40178,24900,35951,47930,76129
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 84740,82234,76680,51432,161430,133676,1210,332,880,169,2090,501,5140,2810,4600,1686,9740,4496,7570,6464,6960,3926,14530,10390,8210,7995,8330,5323,16550,13321,8220,8451,8880,5953,17110,14405,8750,9098,9040,6543,17790,15643,9830,10442,9360,7296,19190,17739,10940,12010,9850,7543,20790,19555,11100,12024,9150,6836,20240,18860,9440,9542,6890,4800,16330,14342,3900,2891,2490,1280,6390,4170,430,174,,,,,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 9690,192207,4070,40687,13760,232904,,,,,,,,,10,83,,,80,1077,30,214,110,1291,180,3100,70,588,250,3688,330,7747,130,1490,460,9237,570,11554,220,3846,800,15410,830,25465,320,3709,1150,29174,1400,34627,550,7201,1950,41828,1720,39257,650,6754,2380,46011,1480,30876,590,5914,2070,36791,1150,17829,450,2805,1600,20634,710,7123,,,1050,11867,1210,13407,700,3300,1910,16707
41,Other employment expenses,Autres dépenses d'emploi,2012, 76780,454518,33110,118071,109890,572604,780,1398,170,198,960,1596,4500,14887,1840,3880,6340,18767,8520,42502,3880,11314,12390,53818,10090,58274,4240,14174,14330,72461,9770,62287,3960,13882,13730,76169,9560,64126,4280,16686,13850,80812,9560,60092,4390,17225,13950,77317,9180,56993,4320,17872,13500,74865,7460,47482,3340,13109,10800,60591,4490,29351,1760,6596,6250,35947,2030,12395,700,2472,2730,14868,600,3806,170,478,770,4284,240,925,60,183,290,1108
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 3030,45742,710,8226,3730,53981,,,,,,,,,,,,,160,1878,50,352,210,2230,290,3962,60,527,350,4490,310,4719,80,909,390,5640,300,4711,70,779,370,5490,350,5837,70,871,420,6708,460,7892,120,1607,580,9499,450,7232,90,1286,540,8518,330,5205,80,1067,410,6271,200,2792,50,535,250,3327,90,865,20,176,110,1041,60,436,10,66,70,502
43,Other deductions,Autres déductions,2012, 34430,84450,33700,97423,68140,181896,360,711,290,423,650,1134,1710,975,1460,609,3170,1584,2990,2938,2830,2230,5820,5168,3150,4649,3340,3365,6490,8022,3030,4719,2970,4553,6000,9272,2880,4349,2700,2989,5580,7339,3020,7309,2900,4326,5920,11639,3420,6154,3380,4467,6800,10621,3420,8658,3350,5622,6770,14291,3110,8341,2910,5708,6020,14049,2670,8177,2500,6675,5170,14852,1710,5963,1670,16836,3380,22798,2970,21506,3410,39621,6380,61127
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 851760,6973233,735210,4136910,1587030,11110275,10890,8056,7900,3606,18790,11662,49440,114941,43740,74580,93180,189521,83360,376449,78350,304358,161710,680814,90900,555870,83970,446243,174890,1002145,89480,674697,78950,491533,168440,1166245,88630,761408,77750,500970,166390,1262392,90380,846166,80710,535191,171100,1381371,96670,970816,86120,609344,182800,1580164,87220,971588,74310,539977,161530,1511601,63090,704230,50440,319281,113540,1023510,41310,458537,29000,148461,70310,607008,24260,234749,15080,68040,39340,302789,36120,295726,28890,95326,65020,391052
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 45700,122586,18100,55476,63790,178075,,,,,,,1670,1990,120,128,,,3390,4159,350,390,3740,4549,3080,3836,310,323,3390,4160,2320,2825,280,324,2600,3149,2010,2439,390,409,2400,2848,2150,2681,400,448,2550,3129,2310,3093,430,513,2740,3606,2040,2837,290,345,2320,3182,,,190,279,1530,2189,12010,43347,5450,16590,17460,59937,5750,22883,3490,12218,9240,35112,7640,30581,6410,23508,14050,54090
46,Net income after adjustments,Revenu net après rajustements,2012, 1426940,101693188,1426210,55238089,2853930,156937189,67330,872012,63420,587830,130780,1459923,129720,4480173,126290,2696652,256130,7177057,149900,8364806,145970,4857729,296020,13222971,145590,9989957,143610,5245819,289340,15236489,133000,10635724,128420,5217538,261560,15853990,128030,11322751,123110,5706756,251200,17030053,127980,11959042,124440,6159186,252450,18118421,133940,13301113,130780,6691404,264740,19992667,119590,11947417,114660,5686046,234260,17633909,91190,7689058,89940,3931927,181150,11621120,69070,4664798,70810,2749691,139890,7414788,47950,2531609,51420,1842106,99380,4373882,83660,3934729,113340,3865403,197020,7801921
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 510,7777,50,793,560,8570,,,,,,,80,901,,,90,912,160,2020,10,274,170,2294,100,1329,10,251,110,1580,60,891,,,60,996,50,1128,,,50,1171,40,962,,,40,1032,20,395,,,30,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 9260,555111,3510,83508,12770,638619,,,,,,,30,125,50,79,,,280,1851,230,1063,510,2914,700,10261,400,3768,1100,14029,1100,28489,480,5558,1580,34047,1360,40277,500,10303,1850,50580,1420,59374,480,10177,1900,69551,1750,113567,680,21733,2430,135300,1520,151621,430,19180,1950,170801,770,91013,190,5872,960,96885,260,53014,,,310,58185,50,2700,,,70,3224,30,2818,,,30,2894
49,Other payments deductions,Déduction pour autres paiements,2012, 129450,1000843,165240,1251322,294700,2252248,1360,9734,1390,9456,2750,19189,5630,46747,6710,51150,12330,97896,6240,53662,7260,59727,13500,113389,6180,54654,6930,64261,13110,118915,5870,53472,6170,60919,12030,114391,6370,61943,6190,60961,12560,122905,7520,78328,6810,70271,14340,148602,8450,90584,7430,79563,15870,170146,7660,87852,6790,74657,14450,162518,6540,75494,9740,88881,16280,164375,15950,100288,19710,117320,35670,217612,15960,91153,19980,118614,35930,209779,35720,196932,60150,395544,95880,592530
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 1430,22109,1740,12487,3170,34597,,,,,,,20,80,,,,,80,498,100,450,180,948,100,1068,120,442,220,1509,110,1406,210,1271,320,2677,160,1983,240,1507,400,3489,180,2361,270,1741,450,4103,220,3103,280,2346,500,5449,220,4009,240,2123,460,6131,170,3732,170,1847,340,5580,100,1739,60,354,160,2094,40,1259,20,228,70,1487,,,20,143,50,1012
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 32220,112761,25300,62041,57530,174812,50,72,40,136,100,208,320,241,170,152,490,393,810,792,450,365,1260,1157,1330,2007,720,692,2050,2699,1770,3212,940,1142,2700,4354,2290,6156,1280,2361,3570,8522,2880,11571,1930,4415,4810,15986,3990,16455,2990,8231,6980,24686,4610,18145,3580,10419,8190,28564,4150,17649,3540,8936,7700,26585,3400,13763,2900,6877,6300,20646,2340,7896,2310,4978,4650,12874,4280,14802,4460,13337,8740,28139
52,Capital gains deduction,Déduction pour gains en capital,2012, 7520,529762,5040,331476,12560,861354,40,3884,40,3729,80,7614,70,2542,50,2293,120,4835,150,9013,80,1857,230,10870,260,12607,160,7253,410,19859,350,19697,230,14308,570,34005,470,36662,310,22801,780,59463,710,53510,450,30847,1160,84358,910,69075,610,39813,1520,108887,1060,73615,690,41354,1750,114969,970,64650,640,37468,1610,102118,770,48944,560,32614,1330,81558,630,41138,390,22878,1020,64132,1130,94426,850,74261,1980,168687
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 68860,197739,36090,84150,104960,281907,990,1979,590,976,1580,2956,4860,11874,2800,5286,7660,17160,8750,23912,4540,9552,13290,33463,8910,26213,4110,8992,13020,35205,7900,24033,3550,8479,11450,32515,7130,21568,3560,8623,10690,30191,7230,21790,3920,9518,11140,31308,7590,22577,3900,9496,11490,32072,6110,17766,3160,7988,9270,25754,3830,10986,1960,5091,5790,16078,2230,6286,1300,3404,3530,9690,1440,3893,870,2253,2310,6151,1900,4864,1830,4492,3730,9362
54,Additional deductions,Déductions supplémentaires,2012, 6320,27591,7560,28064,13900,55731,30,38,40,45,60,83,110,463,220,1044,330,1511,150,1248,300,1834,450,3084,190,2708,290,2454,480,5165,160,2066,230,1766,390,3836,140,1977,190,1413,340,3391,160,2049,120,893,290,2950,130,1950,110,1008,240,2957,110,2036,120,1337,220,3383,170,1382,260,1173,440,2591,770,1795,920,1932,1690,3734,1180,2056,1320,2456,2490,4512,3020,7822,3450,10708,6480,18534
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 2200,25994,940,7653,3140,33647,,,,,,,10,74,,,20,87,50,601,,,60,682,80,558,30,257,110,815,110,982,60,360,170,1342,180,2388,90,707,260,3094,250,3043,120,1146,370,4189,320,4916,170,1885,490,6802,350,3987,150,1050,500,5036,330,3688,120,617,450,4305,220,2454,90,629,310,3083,160,1605,50,521,210,2126,150,1698,40,386,190,2084
56,Total deductions from net income,Total des déductions du revenu net,2012, 245060,2480860,236260,1861793,481350,4342957,2460,15710,2080,14352,4550,30064,10980,63046,9880,60060,20870,123109,16370,93605,12760,75208,29130,168815,17360,111412,12530,88372,29890,199786,16840,134369,11620,93917,28460,228293,17400,174147,12040,108725,29440,282876,19420,233029,13680,129107,33100,362146,22160,322827,15660,164159,37820,486986,20470,359352,14650,158167,35120,517536,16040,268784,16010,149918,32060,418740,22290,228332,24450,168307,46740,396656,20300,151808,23690,152541,43990,304484,42970,324440,67210,498961,110190,823466
57,Taxable income assessed,Revenu imposable établi,2012, 1411120,99218585,1408810,53380458,2820700,152604651,66870,856312,63070,573480,129980,1429870,128270,4417163,125030,2636652,253430,7054043,148490,8271263,144740,4782583,293370,13054280,144270,9878680,142120,5157855,286530,15037246,131660,10501443,126830,5123763,258630,15625926,126510,11148936,121250,5598248,247830,16747724,125940,11726239,122110,6030507,248080,17756929,131570,12979703,128190,6527453,259790,19507306,117390,11588463,112420,5528308,229820,17117199,89930,7420789,88030,3782462,177970,11203348,68950,4437257,70690,2581889,139650,7019428,47840,2380519,51300,1689913,99150,4070463,83420,3611818,113030,3367346,196460,6980888
58,Basic personal amount,Montant personnel de base,2012, 1437940,15451858,1440940,15497944,2879880,30959401,68200,735953,64410,695242,132680,1431759,131230,1411398,127420,1370359,258880,2783921,151060,1615848,147030,1571492,298260,3188945,146430,1562520,144980,1548295,291580,3112470,133860,1430291,129950,1391271,263970,2823106,128960,1382415,124900,1342056,253940,2725231,129070,1388449,126430,1362519,255540,2751381,135190,1457251,132810,1433365,268020,2890828,120770,1303160,116380,1256101,237170,2559394,91980,992353,90750,979140,182740,1971623,69300,747690,70940,765726,140260,1513604,48080,518690,51510,555966,99590,1074723,83810,905839,113430,1226413,197250,2132414
59,Age amount,Montant en raison de l'âge,2012, 178420,1022552,224070,1357352,402520,2380129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57440,307048,66460,386637,123920,693796,43360,248391,48970,294490,92330,542916,77620,467113,108650,676225,186280,1143418
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 195600,1481315,44170,334505,239830,1816275,240,1781,130,1155,370,2936,4720,35447,1470,11791,6190,47247,16660,125371,4000,31024,20670,156504,27870,213468,5690,45738,33570,259312,29880,233442,5550,44527,35440,278081,26090,209869,5430,43845,31520,253747,21230,173468,5130,40824,26360,214314,19310,158293,5140,39387,24440,197680,17240,138596,4760,33905,22000,172501,12920,96082,3130,20044,16050,116147,8390,50874,1680,9996,10070,60889,4450,21142,940,5696,5380,26838,6620,23482,1140,6575,7770,30079
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 14490,147996,79710,826389,94200,974421,20,187,920,9805,940,9992,310,3111,6250,65943,6550,69055,860,8878,10840,114288,11700,123166,1700,17943,13700,144452,15400,162395,2530,26492,15240,159934,17770,186437,3180,32933,14500,149710,17680,182654,2850,28646,10790,108791,13650,137452,1870,18535,5320,52246,7190,70781,780,7519,1410,13701,2190,21220,240,2285,400,3927,630,6212,90,919,180,1838,270,2757,30,330,100,999,130,1330,20,215,80,756,110,971
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 267830,1120130,174920,654072,442820,1774440,130,306,1240,3006,1360,3313,3850,11430,9060,26437,12910,37886,20170,72648,20940,72556,41120,145240,45230,188673,33230,132936,78480,321659,57930,267075,37490,158196,95440,425354,57180,262103,34970,137312,92150,399442,45560,187938,24020,82436,69580,270395,25540,90854,10700,31890,36240,122744,8810,28492,2440,6723,11250,35217,2380,7381,490,1513,2870,8894,750,2322,200,630,950,2952,210,634,110,294,320,928,110,274,50,141,160,416
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 470,2717,390,2219,850,4938,,,,,,,,,,,,,,,,,10,80,20,80,10,61,30,142,20,111,20,118,40,228,30,175,30,157,60,334,60,330,50,267,100,597,90,510,60,335,150,845,80,462,70,407,140,869,60,336,40,247,100,583,40,269,30,145,70,414,20,135,20,135,50,270,50,269,40,250,90,520
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 1012900,1852166,871180,1275416,1884100,3127598,31760,20702,28300,10635,60070,31337,114380,151519,102090,93485,216480,245005,134330,240444,114050,162976,248380,403423,128610,247557,105230,157146,233840,404706,115230,228569,94150,146844,209380,375417,109000,218987,93870,154081,202880,373072,106410,215860,96720,163714,203130,379574,108980,221486,99420,170586,208410,392072,90480,179986,78670,132206,169150,312194,55070,101435,45150,69056,100220,170491,17470,24787,12740,14280,30200,39067,,,,,,,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 84740,82234,76680,51432,161430,133676,1210,332,880,169,2090,501,5140,2810,4600,1686,9740,4496,7570,6464,6960,3926,14530,10390,8210,7995,8330,5323,16550,13321,8220,8451,8880,5953,17110,14405,8750,9098,9040,6543,17790,15643,9830,10442,9360,7296,19190,17739,10940,12010,9850,7543,20790,19555,11100,12024,9150,6836,20240,18860,9440,9542,6890,4800,16330,14342,3900,2891,2490,1280,6390,4170,430,174,,,,,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 968440,655541,863730,479403,1832190,1134949,50030,12421,45090,7795,95120,20215,114810,60047,104900,40371,219710,100418,131650,89224,115020,63939,246680,153164,122300,88446,103590,59520,225890,147966,106480,79199,90250,53914,196730,133115,98540,74193,88680,55553,187220,129747,94890,72094,90390,58396,185280,130490,95370,72731,91980,60196,187340,132927,77750,58105,71880,46132,149630,104238,46930,32676,41000,24112,87930,56788,20780,12394,15890,7614,36670,20008,6550,3114,3960,1514,10510,4629,2370,897,1100,347,3480,1243
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 3070,9198,410,1227,3480,10425,90,270,10,33,100,303,370,1113,40,129,410,1242,490,1458,80,237,570,1695,430,1284,50,159,480,1443,420,1266,50,159,480,1425,380,1134,40,132,420,1266,300,909,50,141,350,1050,260,774,40,117,300,891,160,480,20,63,180,543,100,309,10,42,120,351,40,129,,,50,138,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 1122000,1207929,987290,1058734,2109350,2266730,61720,65746,56960,60269,118690,126019,120400,130835,111800,120645,232210,251487,138600,150998,122580,132379,261190,283387,132400,144282,113680,122607,246080,266895,118640,129240,100980,108951,219630,238205,112420,122488,99440,107675,211870,230170,110150,119999,101720,110354,211880,230359,113020,123019,104910,113681,217930,236701,95740,103513,84980,91507,180720,195024,62880,66247,52850,55541,115730,121793,32510,32541,24170,24134,56680,56677,13010,11841,8110,7345,21120,19185,10520,7180,5110,3646,15630,10828
72,Public transit amount,Montant pour le transport en commun,2012, 97710,55335,106650,58840,204510,114203,4300,1219,5620,1590,9960,2814,14650,5059,20060,7027,34790,12101,12680,6598,14290,7731,26990,14332,11380,7245,10860,6751,22240,13998,10420,6945,9450,6255,19870,13201,10820,7412,10390,7148,21210,14561,10980,7547,10230,7188,21210,14734,8760,6112,8840,6552,17600,12664,5530,3986,6130,4797,11660,8783,2950,2246,3490,2765,6450,5011,1890,529,2230,487,4120,1017,1340,201,1600,177,2940,377,2030,236,3450,373,5480,609
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 121080,72662,69180,36907,190260,109573,,,,,10,3,210,52,510,131,720,183,3690,1268,4280,1396,7960,2664,16180,7480,12220,5374,28400,12854,29550,17868,18140,10198,47690,28066,32080,21698,17810,10857,49890,32558,23710,15400,11180,6428,34880,21828,11320,6591,4160,2105,15490,8696,3300,1787,690,322,3990,2109,730,376,120,60,850,436,230,106,50,24,280,130,60,26,20,8,80,34,,,,,30,12
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 47500,26578,25210,12834,72710,39412,,,,,,,30,11,100,32,130,43,910,318,970,330,1880,648,5080,2231,3720,1556,8800,3787,11350,6002,6720,3383,18060,9385,13680,8204,7160,3986,20840,12190,9940,6096,4470,2499,14410,8595,4660,2697,1750,888,6410,3585,1390,788,250,126,1650,913,320,173,40,18,360,191,100,45,20,10,120,55,,,,,30,15,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 17740,82806,9720,43011,27460,125817,70,349,30,135,110,484,2870,13463,1530,6682,4400,20145,5410,25161,3350,14833,8760,39994,3430,16068,1820,8168,5250,24236,2250,10636,1010,4521,3260,15156,1540,7149,720,3200,2260,10349,1040,4795,540,2340,1570,7135,590,2712,360,1583,940,4295,320,1474,220,977,550,2451,140,631,80,339,220,970,60,240,30,113,90,353,20,81,20,50,30,131,10,48,20,70,30,118
76,Pension income amount,Montant pour revenu de pension,2012, 166070,317215,195520,369894,361610,687159,70,105,60,89,120,194,90,113,100,147,190,261,150,169,110,137,250,305,170,239,190,318,370,559,220,354,400,693,620,1048,670,1238,940,1755,1600,2993,1480,2846,2060,3947,3550,6796,2890,5557,5110,9863,8000,15424,11740,22943,16040,31092,27780,54040,22160,43255,27050,52566,49210,95827,34060,65238,37850,72523,71910,137774,32250,61808,34330,65345,66580,127159,60130,113351,71300,131420,131430,244779
77,Caregiver amount,Montant pour aidants naturels,2012, 9600,43303,6730,28303,16330,71606,,,,,,,,,,,,,210,921,120,531,330,1452,470,2213,360,1634,830,3846,880,4322,660,3067,1540,7389,1500,7592,1030,5066,2530,12658,1710,8177,1120,4984,2830,13161,1750,7771,1150,4684,2900,12455,1280,5163,900,3290,2180,8453,860,3523,600,2095,1460,5618,430,1664,330,1214,760,2877,200,794,160,556,360,1351,250,985,290,1027,540,2012
78,Disability amount ,Montant pour personnes handicapées,2012, 27010,204000,29230,220233,56240,424247,630,5579,310,2633,940,8212,1210,9064,790,5896,2000,14960,1110,8333,790,5970,1900,14302,1010,7600,930,7026,1940,14626,950,7168,880,6599,1830,13767,1210,9057,1060,7975,2270,17032,1530,11517,1750,13182,3280,24699,2110,15835,2350,17632,4450,33467,2690,20217,2910,21910,5600,42133,2970,22347,2990,22532,5970,44879,2500,18878,2370,17835,4870,36712,2060,15482,1930,14558,3990,30040,7030,52923,10160,76487,17190,129417
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 12870,137714,8900,88594,21770,226307,,,,,,,,,,,,,340,3973,340,3956,690,7929,1000,12062,820,9703,1820,21765,1880,23207,1270,14760,3150,37967,2270,27889,1470,16468,3740,44357,2250,25399,1380,14452,3640,39850,1870,18449,1210,10856,3080,29306,1320,11618,790,6315,2120,17933,840,6918,620,4624,1460,11542,480,3633,380,2736,860,6369,250,1823,190,1414,440,3238,330,2334,340,2462,670,4796
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 33130,17000,45250,24517,78380,41517,100,15,120,22,220,36,4720,1732,6720,2870,11440,4603,10230,5822,15410,9446,25640,15268,9010,4978,11940,6799,20950,11776,4800,2439,5650,2907,10450,5346,2260,1094,2520,1246,4780,2340,1090,513,1370,608,2470,1121,550,247,940,395,1490,642,260,110,410,150,660,260,90,43,120,47,210,90,20,6,30,17,60,23,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 98740,573554,113700,638402,212450,1212033,5770,22326,5730,21143,11500,43469,35200,214403,38550,242094,73750,456518,24240,176969,26790,197636,51040,374607,12310,75204,13480,72884,25790,148124,7350,34768,8760,37852,16100,72622,5270,22701,7190,27567,12460,50267,3650,13697,5560,18323,9220,32036,2420,7518,3950,12662,6370,20180,1440,3933,2300,5753,3730,9686,710,1507,900,1846,1610,3353,240,373,330,465,570,838,90,98,100,123,190,221,60,58,70,54,130,112
