#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 2720,111919,1490,42572,4210,154491,,,,,,,,,,,,,110,1297,40,273,150,1570,140,2541,70,1156,210,3697,210,4950,100,1980,310,6930,330,8815,150,3502,480,12317,400,16217,230,6232,620,22449,390,14749,250,5312,630,20061,300,14530,230,5755,530,20285,310,11442,160,3389,470,14831,260,24165,130,4067,380,28232,130,7740,70,3589,200,11329,120,5370,,,170,12214
35,Moving expenses,Frais de déménagement,2012, 16520,83715,13780,45095,30300,128815,780,406,1060,551,1840,957,3570,2918,3720,2818,7290,5736,3370,7172,3170,5331,6540,12504,2410,13336,1740,7381,4150,20717,1740,14703,1020,7072,2760,21780,1340,12750,770,5649,2110,18399,1080,10204,680,4970,1760,15174,900,9173,660,4921,1560,14094,650,6836,550,4368,1200,11204,390,4087,260,1544,660,5631,200,1712,90,369,290,2081,60,325,30,75,80,399,30,93,30,45,60,138
36,Support payments made,Pension alimentaire payée,2012, 33070,551392,1130,13773,34200,565165,,,,,,,,,,,,,220,342,,,240,364,690,3058,40,140,740,3198,1590,12245,100,633,1690,12878,3180,32484,180,1415,3360,33899,5230,72027,250,3274,5490,75301,6210,113167,220,3894,6430,117061,5370,120087,160,2465,5530,122552,3830,87283,80,1185,3910,88468,2600,54924,40,460,2640,55384,1710,26794,20,110,1730,26903,2370,28961,,,2390,29136
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 533760,1302039,478280,917193,1012230,2220309,1510,1234,1440,1159,2950,2412,5670,3371,4760,2259,10440,5635,11790,8651,9520,5444,21320,14119,18240,21247,14000,12538,32260,33794,26890,46930,19480,27617,46390,74571,37220,88651,27500,49809,64740,138509,47610,133935,37960,78623,85590,212619,57770,170857,48920,105976,106710,276937,61000,179464,53720,118307,114730,297789,62170,177748,54760,121298,116940,299169,60000,187281,51940,108346,111950,296071,47410,107282,41180,76337,88610,183659,96480,175390,113090,209477,209620,385023
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 378760,322599,287900,189468,666930,512274,3980,853,2990,544,6970,1400,19710,7646,15230,4826,34960,12484,30720,18966,24220,12518,54980,31511,35060,27656,27420,17438,62540,45140,38040,33556,31660,21610,69740,55197,45130,41273,36710,26390,81880,67697,52480,49324,40630,29960,93140,79309,53000,50839,39880,29738,92900,80595,47200,45333,34340,24550,81550,69888,37760,35645,25000,16978,62760,52625,14260,10973,8960,4694,23220,15670,1430,534,870,223,2290,757,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 17620,368167,9010,102375,26630,470542,,,,,,,,,,,,,50,645,20,426,70,1070,160,3071,60,698,220,3768,420,7532,160,2227,580,9758,940,25674,370,5008,1310,30681,1530,38639,650,8972,2180,47611,2280,60875,940,14400,3220,75276,2540,64468,1180,15694,3720,80162,2430,47520,1160,13132,3590,60652,2370,42471,1140,9763,3500,52234,1770,24823,980,9547,2740,34370,3120,52269,2340,22236,5460,74506
41,Other employment expenses,Autres dépenses d'emploi,2012, 239490,1432521,125540,506732,365050,1939288,990,1433,350,318,1330,1751,8240,23086,3910,8003,12150,31090,19090,78104,11100,32688,30190,110793,24800,129351,13670,48205,38470,177568,29010,172009,15090,60104,44110,232113,33190,216660,17730,77359,50920,294020,36070,238218,19530,89199,55600,327435,34100,224691,18260,82549,52360,307240,26170,176160,13560,57822,39730,233985,16750,105374,7970,33761,24720,139136,7640,46812,3160,12564,10800,59378,2370,14375,880,3100,3250,17475,1080,6246,340,1059,1420,7305
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 8930,130187,2630,31270,11570,161497,,,,,,,,,,,,,310,3231,120,853,430,4087,620,8099,180,1619,800,9737,840,12190,190,2295,1030,14493,980,15140,260,3205,1240,18344,1120,17267,310,3811,1430,21085,1370,21576,430,5556,1800,27132,1340,21538,520,7130,1860,28672,1090,16747,320,3987,1410,20733,680,8757,180,2010,860,10768,310,3218,60,532,370,3749,230,2131,30,193,260,2324
43,Other deductions,Autres déductions,2012, 136940,317259,155970,472474,292960,789903,1550,5010,1440,5950,2990,10966,4930,2168,4720,1780,9650,3948,8890,6310,10550,7862,19450,14180,9710,8936,13060,10800,22780,19797,10070,11209,12630,12346,22710,23557,11110,16994,12480,13435,23590,30432,12520,20213,14140,16631,26660,36917,13970,24264,15300,20953,29270,45221,13200,27180,14420,22441,27620,49621,12910,24762,13330,29872,26240,54642,12520,31702,12500,44457,25030,76160,8410,32817,8650,72673,17050,105489,17160,105695,22740,213273,39910,318972
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 2818260,21545736,2567720,13859302,5386700,35408116,30380,16432,26190,13446,56570,29906,124700,174532,112490,124595,237240,299220,202870,700061,210650,674333,413610,1374619,237500,1235904,249740,1254571,487340,2490723,262940,1787966,266260,1688804,529300,3477043,294210,2245970,286060,1805551,580360,4051838,327560,2605689,312930,1917090,640560,4523081,335370,2851963,313600,1959437,649030,4811791,287710,2716927,265610,1705534,553360,4422700,232480,2369960,195810,1178111,428310,3548272,174370,1935265,121430,658348,295820,2594120,115300,1212838,66740,324657,182070,1537559,192860,1692229,140220,554824,333140,2247244
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 119940,336207,77760,231123,197690,567331,,,,,,,,,20,16,,,3040,3341,320,244,3350,3585,3730,3991,540,458,4270,4450,3830,4004,660,592,4490,4596,4380,4527,910,832,5290,5358,5330,5414,1080,1060,6410,6474,5700,5832,1110,1005,6810,6837,4460,5024,870,876,5330,5900,3030,3895,730,892,3760,4787,33490,110386,20890,57776,54380,168163,19250,69156,15780,48823,35020,117980,32890,119714,34850,118548,67750,238262
46,Net income after adjustments,Revenu net après rajustements,2012, 4767340,238260555,5173900,175455713,9951510,413831167,201770,1569472,203020,1401419,405950,2972420,404000,7392380,402640,5979964,809180,13381090,390630,13539712,410320,11075714,802490,24629122,373760,17576107,412610,13347676,787660,30941292,378800,21652626,417120,15151948,796900,36818937,414910,26405694,444070,17809086,859680,44228893,462800,30522893,482740,20566722,946080,51101574,472280,31918367,486750,20946910,959420,52875019,413490,26742363,432080,17840802,845860,44590364,354510,20246080,378180,14192733,732920,34444200,298990,14957448,320520,11152811,619670,26113376,216700,9478715,241300,7995757,458160,17477110,384710,16258699,542560,17994170,927540,34257770
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 1130,26383,230,4436,1370,30819,,,,,,,40,754,20,136,60,890,170,3427,50,754,220,4181,200,3583,30,743,230,4326,160,3435,30,821,190,4257,170,4118,40,761,200,4879,190,5260,40,800,230,6060,150,4361,20,347,170,4707,40,1309,,,50,1380,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 11900,661686,4880,114365,16780,776133,,,,,,,,,100,86,,,280,1525,240,757,510,2282,720,6860,400,2685,1120,9545,1480,34898,640,6957,2120,41855,1980,69383,840,16334,2810,85717,2210,117965,860,23412,3060,141377,2090,151066,860,29310,2950,180376,1520,122730,550,21342,2070,144072,960,88741,280,11070,1240,99893,440,52389,80,2173,520,54562,130,11650,20,229,150,11880,60,4418,,,60,4428
49,Other payments deductions,Déduction pour autres paiements,2012, 601460,4743391,739650,5500366,1341370,10246510,7280,37878,8890,47617,16170,85517,31950,198845,35610,247729,67570,446701,32650,224906,37230,287748,69890,512786,29250,226677,33620,285473,62900,512313,28600,251199,31940,293846,60550,545191,33110,317960,33970,327428,67100,645534,43040,442002,39300,387802,82350,829880,48840,521389,41270,410261,90110,931796,44740,492332,37200,370024,81950,862452,40660,464776,53270,451711,93940,916590,74260,484036,85870,523953,160160,1008365,64220,374998,79970,493820,144210,869154,122870,706392,221540,1372955,344480,2080231
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 6950,117352,6130,48163,13090,165570,20,35,10,25,30,60,100,409,70,168,180,578,350,2103,260,864,610,2968,520,3666,410,1931,930,5598,550,4973,570,3583,1120,8556,760,9195,830,4906,1590,14111,960,18984,980,7355,1940,26373,1010,22117,1010,8667,2010,30791,1040,11298,820,8798,1860,20098,820,25105,630,5115,1460,30221,470,10455,320,3250,790,13704,190,4579,120,1518,310,6099,160,4433,110,1982,270,6415
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 112810,360054,109500,243725,222330,603856,180,364,150,326,330,693,790,669,600,512,1380,1182,2000,2309,1270,1288,3280,3604,3320,4033,1970,2198,5290,6234,4900,8590,3030,4290,7930,12881,7010,17312,4730,7139,11740,24472,9280,30607,7370,13976,16660,44591,11650,40886,10230,22596,21890,63507,13190,47288,12720,27954,25910,75242,14040,47095,14340,33269,28380,80375,14070,50762,14270,32927,28340,83689,11000,34933,11670,24514,22670,59447,21390,75204,27150,72735,48540,147940
52,Capital gains deduction,Déduction pour gains en capital,2012, 9860,798599,7520,489756,17490,1294267,130,18562,110,13743,250,32618,120,7719,130,7756,250,15481,330,18062,240,11825,570,30114,430,22181,310,12824,750,35477,520,34933,370,17467,900,52694,670,46758,470,23979,1150,71632,860,74786,700,49617,1560,124682,1090,101115,870,58154,1970,160030,1210,111083,880,58163,2110,170469,1150,98339,820,52325,1990,151250,1080,82827,750,42968,1850,126215,780,53159,570,33501,1360,87002,1480,129075,1310,107433,2790,236601
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 3320,9729,1850,5761,5170,15490,20,34,10,16,40,50,220,504,140,362,370,866,400,1174,300,906,710,2081,370,1063,210,677,580,1740,270,780,150,473,410,1253,320,1022,140,496,460,1518,320,996,150,433,470,1429,410,1191,180,582,590,1774,350,1058,160,567,510,1625,260,810,130,387,390,1197,160,457,100,304,260,761,100,304,60,167,150,471,120,337,140,390,250,726
54,Additional deductions,Déductions supplémentaires,2012, 29320,136167,37200,151001,66590,287558,80,156,80,147,160,303,100,662,140,1205,240,1867,180,2660,220,2956,410,5625,220,4709,200,3092,430,7816,210,6727,200,4057,410,10865,230,8231,220,4013,450,12280,270,11965,240,4647,520,16667,340,12028,290,4686,640,16741,400,12590,390,5985,800,18590,1000,10223,1560,6515,2570,16767,4430,12021,5190,12059,9630,24122,5720,12432,6270,16068,12000,28520,16140,41764,22200,85571,38350,127394
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 2730,29890,1170,10115,3950,40679,,,,,,,,,,,,,50,382,,,70,584,90,678,40,214,140,1017,140,1193,50,348,200,1646,160,1704,100,832,270,2595,280,2618,160,1404,440,4060,430,5560,220,1487,650,7126,440,5884,200,1869,640,7791,430,4223,160,1119,590,5345,320,3701,120,1635,440,5380,190,1684,60,358,250,2042,190,2171,50,728,240,2899
56,Total deductions from net income,Total des déductions du revenu net,2012, 762580,6885509,889830,6568497,1652930,13463949,7710,57037,9250,61875,16970,119250,33360,209713,36770,258003,70150,467905,36330,256550,39770,307170,76140,564226,34970,273455,37110,309839,72130,584073,36540,346747,36850,331845,73440,679219,43970,475741,41120,385897,85130,862803,56810,705309,49460,489455,106290,1195253,65110,859883,54480,536229,119630,1397157,61890,805786,52380,494895,114310,1302054,58210,739824,70050,561604,128300,1302241,92440,697394,104120,619435,196610,1317711,79430,493973,96010,570238,175480,1064910,155800,964098,262460,1642012,418350,2607147
57,Taxable income assessed,Revenu imposable établi,2012, 4626800,231394670,5036640,168900705,9673560,400400418,198240,1512459,199670,1339563,399070,2853213,391510,7182752,392420,5722149,786450,12913460,378020,13283521,400110,10768769,779660,24065481,361960,17303200,401710,13038430,764960,30358367,366780,21306695,404740,14821283,772490,36141716,400300,25931075,428970,17424247,829970,43368326,443420,29819926,463910,20078281,907860,49909676,450580,31062253,466840,20411786,917800,51482736,394610,25939017,414460,17346735,809350,43291595,342110,19509419,361790,13632462,704130,33146455,298600,14262010,320040,10534670,618790,24798917,216470,8985994,240930,7426500,457560,16414432,384210,15296350,541040,16355830,925500,31656044
58,Basic personal amount,Montant personnel de base,2012, 4815500,51835463,5232110,56349611,10065770,108362828,206950,2233325,207980,2245338,417350,4499163,411020,4422380,408730,4397311,826760,8888736,394980,4235918,414310,4438262,811820,8699701,376850,4034630,416600,4463303,795130,8514709,382040,4095361,422360,4533917,805620,8641410,418950,4500588,450690,4847860,870530,9357397,467930,5038206,490470,5287005,959070,10332088,477960,5153539,494560,5336926,972970,10495258,418610,4515956,438560,4733026,857510,9252461,357870,3861597,381730,4118946,739870,7983325,299840,3235321,321200,3465700,621240,6703016,217190,2343973,241730,2609055,459090,4954825,385320,4164670,543200,5872961,928820,10040739
59,Age amount,Montant en raison de l'âge,2012, 831410,4841053,1054630,6386953,1886690,11232059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268960,1511086,305210,1799793,574370,3312027,202050,1178825,231040,1393530,433260,2573413,360400,2151141,518380,3193630,879070,5346618
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 612210,4629131,224180,1689388,837960,6331875,400,3529,500,4515,910,8092,8840,69304,6070,50515,15060,121152,32730,253663,17090,133336,50180,390297,56420,432125,23840,183298,80530,617694,71960,557642,26380,203148,98530,762245,79860,638657,29020,226777,109000,866471,80350,651346,31050,241133,111510,893265,75920,617136,30230,230851,106240,848678,67320,541617,25750,189088,93150,731286,55430,420503,16400,111272,71910,532375,37910,235153,8550,54906,46510,290444,19390,102283,4370,29821,23800,132472,25680,106174,4920,30727,30650,137404
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 50190,510282,322380,3331599,372660,3842795,60,614,2740,29150,2800,29768,1010,10100,20000,210408,21020,220549,3050,30541,36400,381093,39450,411688,4820,49636,47950,503484,52790,553304,7760,81301,58480,614623,66250,696083,10590,110228,63630,665703,74240,776113,10920,111345,53310,546068,64230,657524,7240,72144,27260,270472,34510,342743,2780,27081,7950,74932,10730,102041,1070,10148,2000,17306,3070,27466,440,3984,1060,8316,1500,12299,200,1675,630,4395,830,6070,260,1486,990,5650,1260,7147
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 801170,3204291,674250,2477214,1477190,5694077,280,669,3690,8789,3970,9460,6380,18456,27640,79509,34090,98199,35130,119906,64250,221519,99690,342699,99260,380527,110170,431361,209800,814431,158190,687097,140630,583925,299140,1273955,185680,825182,147820,577673,333780,1405537,169220,680772,114550,386829,283990,1069413,99070,343192,51090,148609,150300,492678,34070,106638,11350,30366,45460,137213,9630,29093,1770,4898,11410,33997,2910,8766,750,2167,3660,10933,920,2695,330,951,1250,3646,440,1298,210,619,650,1916
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 4880,21391,4090,17589,8980,39012,,,,,,,,,,,,,60,319,60,322,120,641,120,586,90,426,210,1011,160,714,150,739,310,1453,270,1363,290,1366,560,2730,500,2419,480,2402,980,4820,770,3528,720,3154,1490,6689,800,3492,640,2645,1440,6136,720,3040,540,2242,1270,5294,540,2237,370,1411,920,3648,370,1412,280,1091,650,2504,550,2180,440,1715,990,3908
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 2831120,4683506,2764430,3893921,5595990,8577804,78370,25141,76960,17301,155350,42454,299680,244829,288890,184445,588660,429333,316190,464136,306620,389541,622900,853749,304590,532650,297400,433558,602060,966271,305600,571004,298620,467674,604280,1038728,325170,621607,322500,525045,647710,1146698,351600,678792,354350,588100,705980,1266923,347590,671079,347140,576075,694750,1247168,273240,508535,269410,433527,542670,942078,172880,294136,157710,230126,330610,524275,52900,69381,42480,47237,95380,116620,3260,2172,2330,1281,5590,3453,50,44,20,10,70,53
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 378760,322599,287900,189468,666930,512274,3980,853,2990,544,6970,1400,19710,7646,15230,4826,34960,12484,30720,18966,24220,12518,54980,31511,35060,27656,27420,17438,62540,45140,38040,33556,31660,21610,69740,55197,45130,41273,36710,26390,81880,67697,52480,49324,40630,29960,93140,79309,53000,50839,39880,29738,92900,80595,47200,45333,34340,24550,81550,69888,37760,35645,25000,16978,62760,52625,14260,10973,8960,4694,23220,15670,1430,534,870,223,2290,757,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 2752430,1705255,2778680,1494058,5531560,3199476,122680,18934,125190,16195,247890,35135,307600,106388,302350,86127,610040,192542,312270,179278,310240,156874,622590,336183,293100,196112,295580,166250,588750,362389,286960,203416,291370,175004,578380,378440,299310,216561,310180,194140,609530,410719,320400,233911,338980,216186,659410,450110,315530,230323,330480,210727,646030,441056,246980,173960,254930,157900,501930,331868,155220,100325,148630,83822,303870,184151,66440,35718,54630,25314,121080,61034,18860,7876,12450,4423,31320,12300,7070,2452,3670,1097,10740,3550
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 7570,22712,520,1566,8090,24281,60,168,,,60,177,610,1833,70,219,680,2052,940,2811,80,234,1020,3048,950,2850,70,195,1020,3045,1080,3240,70,198,1150,3438,1040,3105,80,228,1110,3333,950,2844,50,144,1000,2988,790,2373,50,144,840,2517,540,1605,30,96,570,1701,330,999,20,60,350,1059,200,594,,,210,615,70,207,,,70,216,30,83,,,30,92
71,Canada employment amount,Montant canadien pour emploi,2012, 3321970,3458454,3186190,3371976,6509020,6831283,161640,168360,163770,170668,325440,339058,339730,363817,334310,357528,674210,721499,335260,362702,332520,358389,667920,721228,317490,344431,319130,344074,636770,688646,316960,344171,317650,342824,634710,687103,337850,366909,340770,368419,678700,735407,366630,397983,373220,404081,739930,802137,365610,395992,367290,397356,732940,793384,301430,319588,294520,314619,595990,634247,218650,217036,190740,195378,409420,412442,125010,106181,88420,80775,213440,186968,60110,39314,32280,23722,92400,63045,75590,31971,31550,14140,107150,46121
72,Public transit amount,Montant pour le transport en commun,2012, 306070,325676,355440,364068,662100,690012,12690,5481,16900,7213,29700,12734,47010,29739,60590,37579,107940,67451,43860,42497,50590,49050,94530,91601,38080,43849,38130,42254,76240,86116,32790,41431,31890,37838,64690,79276,31440,40884,32740,40624,64190,81520,30900,38689,35420,44408,66320,83101,27330,34541,33350,42953,60680,77494,19390,24807,24790,31922,44180,56733,11650,14631,15220,19017,26880,33649,5440,5159,6950,6057,12380,11216,2450,1917,3500,2271,5950,4188,3030,2052,5370,2882,8400,4934
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 376330,233654,270080,151933,646460,385613,10,4,60,9,70,13,370,98,1580,412,1960,510,6300,1987,11770,3977,18070,5965,34880,15037,38340,17020,73220,32060,82760,50158,68070,39779,150850,89943,107380,75348,75410,48331,182810,123688,87670,58329,52330,30850,140000,89181,41290,24371,18680,9727,59970,34101,11520,6217,3040,1459,14560,7677,2890,1462,490,223,3380,1686,880,450,210,98,1090,549,270,136,70,31,330,167,120,57,40,16,160,73
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 136390,78141,92930,49517,229340,127672,,,,,10,6,50,21,250,84,300,105,1000,352,2140,788,3140,1140,8190,3302,9400,3955,17590,7258,27720,14485,22340,11473,50060,25960,42590,26028,29330,16947,71930,42981,34350,21196,20310,11483,54660,32680,16140,9312,7530,3963,23680,13277,4640,2534,1330,670,5970,3204,1180,642,190,98,1370,740,380,188,80,34,450,223,120,60,20,13,140,73,,,,,50,25
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 37230,171919,25740,114586,62990,286598,70,337,50,215,120,562,3800,17568,2680,11564,6490,29195,11540,52926,8740,38621,20290,91562,8370,38693,5630,25400,14000,64098,4950,23283,2890,13224,7840,36507,3410,15794,2080,9267,5490,25061,2230,10290,1560,7028,3800,17318,1380,6358,1000,4434,2380,10791,740,3418,540,2393,1280,5811,350,1546,290,1279,640,2825,220,997,150,641,370,1639,90,391,70,299,160,690,80,318,50,222,130,540
76,Pension income amount,Montant pour revenu de pension,2012, 803580,1547566,985900,1885758,1789680,3433704,310,516,310,512,620,1028,400,580,430,614,830,1194,240,301,250,320,490,621,290,411,460,699,750,1112,500,803,990,1751,1500,2559,1380,2458,2750,5105,4130,7563,3930,7413,7870,14934,11810,22352,12540,24259,24080,46535,36620,70808,51300,100506,74830,145925,126140,246442,107200,209798,138630,270185,245860,480027,170100,328034,190310,367168,360450,695273,156360,301740,168860,324538,325260,626372,299020,570748,376130,707472,675220,1278353
77,Caregiver amount,Montant pour aidants naturels,2012, 58300,316011,45060,229538,103390,545771,10,62,,,20,85,200,1028,,,370,1944,1050,5312,870,4223,1920,9543,2440,12370,1910,9799,4350,22182,5220,28912,3850,21183,9070,50096,9240,54133,6620,36804,15860,90967,10930,61232,8070,42171,19000,103438,10270,54811,7960,39656,18240,94518,7720,40319,6310,30613,14050,70979,5100,25914,4230,19901,9340,45832,2920,14860,2280,10447,5200,25307,1460,7632,1180,5614,2640,13252,1730,9427,1620,8190,3350,17628
78,Disability amount ,Montant pour personnes handicapées,2012, 139650,1053709,160580,1209386,300240,2263231,2410,20670,1360,11600,3770,32270,4660,35023,2910,21867,7570,56890,3960,29784,2840,21376,6810,51167,3610,27152,3060,23027,6670,50187,3720,28014,3700,27842,7420,55871,4780,35914,5100,38331,9880,74245,7230,54363,7950,59775,15170,114138,10050,75516,11200,84242,21250,159765,12510,94165,13870,104353,26390,198525,15060,113262,15400,115727,30460,228989,14310,107712,13700,103121,28010,210833,12480,94013,12060,90755,24540,184776,44880,338122,67430,507369,112320,845573
