#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
54,Additional deductions,Déductions supplémentaires,2012, ,,,,10,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 7130,48132,6580,45955,13710,94087,260,777,310,1050,570,1826,890,4242,800,4168,1680,8410,900,5679,940,6289,1840,11968,880,6192,820,6288,1700,12480,760,5593,700,5371,1460,10964,780,5867,700,5517,1480,11384,730,5139,620,4901,1350,10040,600,4294,510,3687,1110,7982,470,3426,390,2811,850,6237,400,3073,300,2273,700,5346,220,1911,190,1380,410,3291,140,1005,140,931,280,1936,120,932,150,1289,270,2221
57,Taxable income assessed,Revenu imposable établi,2012, 9660,438063,9710,365130,19370,803222,670,4694,780,5042,1450,9735,1290,25713,1320,21405,2610,47118,1210,42573,1420,44235,2630,86808,1170,52815,1190,50017,2360,102832,990,51500,980,44646,1970,96146,980,51897,960,43917,1950,95843,920,50982,850,43487,1760,94469,770,52284,680,38253,1450,90537,590,44571,530,35982,1120,80553,480,33640,420,22876,890,56516,280,17885,260,9440,550,27325,170,6377,170,3647,330,10024,150,3131,170,2184,310,5315
58,Basic personal amount,Montant personnel de base,2012, 10150,109735,10090,109127,20240,218873,730,7889,850,9155,1580,17045,1380,14956,1390,15075,2780,30031,1280,13834,1450,15685,2730,29519,1210,13077,1230,13316,2440,26393,1060,11407,1010,10903,2060,22310,1030,11158,1000,10798,2030,21967,970,10491,890,9671,1860,20163,800,8648,700,7602,1500,16250,600,6499,550,5898,1150,12397,490,5324,430,4613,920,9937,280,3063,260,2840,550,5902,170,1807,170,1786,330,3593,150,1580,170,1786,310,3366
59,Age amount,Montant en raison de l'âge,2012, 480,2876,540,3445,1020,6321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1102,220,1342,420,2444,140,870,160,1015,300,1885,140,904,170,1088,310,1993
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 1580,11862,770,5934,2360,17797,20,152,20,179,40,332,190,1481,90,681,280,2162,250,1681,130,998,380,2678,230,1628,100,727,320,2355,190,1507,100,738,290,2244,170,1303,100,863,270,2166,150,1157,90,830,240,1987,120,962,60,449,180,1410,100,858,40,254,140,1112,80,626,30,135,100,761,50,322,20,62,70,384,30,125,,,30,141,20,60,,,30,65
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 190,1963,1540,16393,1730,18356,,,60,595,60,606,,,280,3017,280,3050,10,141,280,2960,290,3101,20,217,230,2441,250,2657,20,259,220,2323,240,2582,40,463,170,1826,220,2289,30,301,130,1380,160,1680,30,252,60,640,90,892,,,40,391,50,445,,,30,326,40,391,,,30,300,30,333,,,,,20,168,,,,,20,162
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 2460,12446,3110,13625,5560,26071,10,35,80,186,90,221,220,828,440,1414,660,2242,320,1548,560,2544,880,4092,380,2300,480,2603,860,4903,370,2403,460,2477,820,4880,360,2056,420,1936,790,3992,310,1484,320,1229,630,2713,200,851,160,586,360,1438,110,446,90,321,210,767,90,267,50,140,140,407,40,112,40,125,80,236,20,66,,,40,112,20,50,,,30,68
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 7250,10971,6450,9616,13700,20588,240,98,250,85,490,183,970,912,780,719,1750,1631,970,1319,990,1370,1960,2689,960,1467,900,1447,1860,2915,830,1385,740,1226,1570,2611,820,1380,750,1196,1570,2577,750,1323,650,1138,1400,2461,670,1246,560,979,1220,2225,490,947,430,817,920,1763,370,658,290,484,660,1142,150,223,120,146,270,369,30,12,10,11,40,23,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 250,170,210,130,470,300,,,,,,,20,3,20,2,30,5,30,22,40,17,70,39,30,18,20,15,50,33,30,21,30,19,60,40,20,14,20,10,40,25,20,16,10,9,30,26,30,20,10,18,40,38,20,18,20,23,40,42,30,18,20,13,50,31,20,18,,,30,20,,,,,,,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 7760,4256,7050,3751,14800,8008,490,83,530,84,1020,166,1060,393,860,308,1920,701,1020,527,1050,537,2070,1063,1000,574,930,548,1930,1122,850,531,760,460,1610,990,830,518,760,454,1590,973,770,498,670,427,1440,925,670,457,560,368,1220,825,480,335,430,297,910,632,350,231,290,180,640,410,140,82,130,64,270,146,70,26,60,19,130,45,20,3,30,7,50,9
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 40,132,,,50,159,,,,,,,10,30,,,10,36,10,33,,,10,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 8750,9246,8210,8550,16960,17797,650,640,710,711,1370,1351,1220,1277,1090,1103,2310,2381,1140,1201,1190,1245,2330,2447,1070,1153,1040,1088,2110,2241,930,992,860,898,1790,1890,900,960,850,895,1750,1856,840,889,740,781,1570,1670,710,761,600,639,1310,1400,520,567,470,501,990,1068,410,436,340,362,750,798,200,203,170,173,370,376,100,107,100,97,200,204,70,59,70,56,130,115
72,Public transit amount,Montant pour le transport en commun,2012, 50,21,40,18,90,38,,,,,,,10,4,10,3,30,7,,,,,10,6,,,,,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 150,56,150,48,290,104,,,,,,,,,,,,,,,20,4,30,6,20,4,40,11,60,15,30,15,40,11,70,27,30,19,30,12,60,32,30,9,20,6,40,15,10,3,,,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 20,7,20,5,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,10,2,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 30,130,20,100,60,230,,,,,,,,,,,,,,,,,10,58,10,40,,,20,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 420,789,440,826,860,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,20,35,30,59,20,38,30,58,50,96,40,79,70,137,110,216,110,204,130,254,240,457,110,204,80,149,190,352,60,117,50,88,110,205,60,108,40,76,100,184
77,Caregiver amount,Montant pour aidants naturels,2012, 10,61,20,105,30,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 40,317,50,370,90,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,91,,,,,10,98,,,,,,,,,,,,,,,,,,,,,,,,
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 40,405,30,340,70,746,,,,,,,,,,,,,,,,,,,,,,,10,131,,,,,,,,,,,10,93,,,,,10,162,,,,,10,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 160,119,220,165,370,285,,,,,,,,,10,8,20,9,50,35,90,68,140,104,50,38,60,45,110,83,20,18,30,22,50,40,20,14,10,13,30,27,,,,,10,13,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 420,2091,570,3283,980,5374,,,20,73,30,106,80,421,130,823,210,1244,110,640,160,1247,260,1887,80,500,80,373,170,874,50,161,60,268,110,429,40,130,50,188,80,317,20,113,20,92,50,205,10,55,30,160,40,215,10,30,10,44,30,74,,,,,,,,,,,,,,,,,,,,,,,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 60,315,40,207,100,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,68,10,58,30,126,20,76,10,52,30,128,20,123,,,30,178,,,,,,,,,,,,,,,,,,,,,,,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 460,2308,650,3328,1110,5636,,,30,81,40,99,50,211,130,492,180,703,70,351,120,640,190,991,70,343,100,613,160,956,50,283,60,416,110,699,30,183,60,290,90,473,40,143,40,201,80,344,30,136,20,98,50,234,,,20,102,30,150,20,107,40,233,60,340,30,152,20,90,50,241,30,164,,,40,198,30,169,,,30,208
84,Medical expenses,Montant admissible des frais médicaux,2012, 120,398,140,289,250,687,,,,,,,,,,,,,,,,,20,24,,,20,21,30,35,10,17,,,20,25,,,10,14,20,54,10,31,20,51,30,82,20,67,20,63,40,130,20,52,20,52,40,104,20,66,20,55,30,122,10,67,,,20,75,,,,,,,,,,,,
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 10150,25603,10090,26956,20240,52562,730,1347,850,1678,1580,3025,1380,3092,1390,3563,2780,6656,1280,3206,1450,4116,2730,7322,1210,3225,1230,3506,2440,6730,1060,2866,1010,2981,2060,5846,1030,2752,1000,2798,2030,5552,970,2506,890,2405,1860,4910,800,2057,700,1776,1500,3832,600,1526,550,1341,1150,2867,490,1215,430,1031,920,2245,280,846,260,798,550,1644,170,508,170,490,330,998,150,459,170,475,310,933
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 870,1537,1020,1497,1890,3034,,,,,,,,,,,,,70,76,110,90,180,166,90,84,140,147,230,231,90,74,120,131,210,205,110,118,110,118,220,236,90,152,100,157,180,309,120,271,120,205,230,476,110,378,130,293,240,671,100,191,90,222,180,413,50,121,40,83,90,204,20,26,20,19,40,46,20,35,10,24,30,59
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 870,427,1020,411,1890,838,,,,,,,,,,,,,70,21,110,24,180,44,90,22,140,40,230,62,90,20,120,35,210,55,110,32,110,32,220,63,90,42,100,43,180,86,120,76,120,57,230,133,110,107,130,82,240,189,100,53,90,62,180,116,50,34,40,23,90,57,20,7,20,5,40,12,20,10,10,7,30,16
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 10150,26030,10090,27367,20240,53400,730,1347,850,1678,1580,3025,1380,3095,1390,3565,2780,6660,1280,3227,1450,4140,2730,7367,1210,3247,1230,3546,2440,6793,1060,2886,1010,3016,2060,5901,1030,2783,1000,2830,2030,5615,970,2548,890,2448,1860,4996,800,2133,700,1832,1500,3965,600,1634,550,1422,1150,3056,490,1268,430,1093,920,2361,280,880,260,821,550,1702,170,515,170,495,330,1010,150,468,170,481,310,950
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 430,907,270,333,700,1240,,,,,,,20,,10,6,,,,,40,17,60,29,50,22,30,14,80,36,40,12,30,41,70,53,60,104,,,80,133,40,36,30,59,70,96,50,185,30,29,80,213,50,273,40,63,90,336,50,124,40,59,90,183,30,120,,,50,134,,,,,,,,,,,,
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 6010,61274,4990,47916,11000,109192,100,146,90,94,190,239,580,2112,400,1570,970,3682,720,5000,690,4901,1410,9901,760,7096,690,6530,1450,13626,710,7265,590,5982,1300,13247,710,7382,600,6048,1310,13432,670,7511,560,6344,1230,13855,620,8217,500,5708,1110,13924,480,7292,410,5803,890,13095,370,5542,290,3454,660,8996,170,2825,110,1159,280,3984,80,753,40,290,120,1043,50,134,30,35,70,169
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 110,12,70,11,180,23,,,,,,,,,,,,,,,,,,,20,1,10,1,30,2,,,10,2,20,3,10,,,,20,1,10,1,,,20,2,10,1,,,20,1,20,4,,,30,9,10,2,10,1,20,4,,,,,10,,,,,,,,,,,,,
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 40,10,30,5,70,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,20,3,,,,,10,4,,,,,,,,,,,,,,,,,,
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 6000,61224,4980,47898,10980,109124,100,146,90,94,190,239,570,2112,400,1570,970,3682,720,5000,690,4901,1410,9902,760,7094,690,6528,1450,13623,710,7263,590,5978,1300,13242,710,7381,600,6047,1310,13430,670,7509,560,6341,1230,13849,620,8215,500,5708,1110,13923,480,7284,410,5797,890,13081,370,5530,290,3451,660,8981,170,2803,110,1159,280,3962,80,753,40,290,120,1042,50,134,30,35,70,169
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 250,341,210,259,470,600,,,,,,,20,7,20,3,30,10,30,45,40,34,70,78,30,36,20,30,50,66,30,42,30,38,60,80,20,29,20,21,40,49,20,33,10,19,30,52,30,39,10,36,40,75,20,37,20,47,40,83,30,37,20,26,50,63,20,35,,,30,40,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 250,638,90,233,340,871,,,,,,,,,,,,,10,21,,,20,26,20,23,,,30,28,30,36,,,30,42,20,25,10,17,30,41,20,34,,,30,42,20,35,,,30,38,20,10,,,20,22,,,,,10,21,80,284,30,123,110,407,30,126,,,30,173,,,,,,
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 5970,19867,4930,15335,10900,35202,100,39,80,25,180,64,560,615,390,464,960,1079,720,1554,690,1528,1400,3082,770,2265,690,2079,1460,4345,720,2356,600,1938,1310,4294,720,2403,600,1959,1330,4362,670,2429,560,2051,1230,4479,620,2701,490,1830,1110,4531,480,2435,410,1890,880,4325,370,1837,280,1107,640,2944,160,959,100,370,250,1328,70,239,30,89,100,328,30,34,20,6,50,40
103,Total tax payable,Total à payer,2012, 6140,82070,5120,63725,11260,145798,100,187,100,120,200,307,580,2739,410,2037,1000,4775,740,6621,720,6468,1460,13089,790,9418,710,8642,1490,18060,730,9697,610,7960,1340,17657,740,9837,620,8043,1350,17883,680,10004,570,8419,1250,18423,630,10991,500,7576,1130,18567,490,9766,410,7746,900,17512,380,7418,290,4592,670,12010,170,4081,110,1656,280,5737,80,1118,40,426,120,1544,50,193,30,41,80,233
