#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
49,Other payments deductions,Déduction pour autres paiements,2012, 1850,13659,1630,14249,3470,27908,30,61,20,91,40,152,130,585,140,1090,270,1675,170,901,150,1493,320,2394,140,831,120,1444,260,2275,110,800,110,1131,210,1931,110,920,100,1009,210,1928,170,1561,120,1129,280,2690,190,1946,130,1330,320,3276,150,1415,110,1355,260,2770,120,1201,120,1191,240,2392,210,1562,150,1004,360,2566,130,738,110,610,240,1348,220,1138,240,1372,460,2511
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 10,175,10,107,30,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 170,202,180,365,360,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,20,25,20,13,,,40,91,20,8,20,6,40,14,30,44,30,56,60,100,30,75,30,54,70,130,20,26,30,26,50,52,10,11,20,28,30,38,10,10,20,45,40,55
52,Capital gains deduction,Déduction pour gains en capital,2012, 20,847,,,30,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 9390,48504,8710,42850,18100,91353,120,282,90,187,210,469,550,1979,410,1309,960,3288,840,3829,860,3465,1700,7294,930,4764,830,3871,1760,8636,890,4860,870,4346,1750,9206,860,4847,880,4570,1750,9418,960,5487,970,5340,1940,10828,1130,6299,1160,6212,2280,12511,1070,5844,990,5372,2060,11216,830,4417,700,3705,1540,8122,590,3004,410,2013,990,5017,300,1413,210,992,520,2405,330,1477,320,1467,650,2944
54,Additional deductions,Déductions supplémentaires,2012, 70,246,60,115,130,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,20,10,30,30,20,40,,,40,88,20,64,20,32,40,96
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 10450,63776,9720,58771,20160,122547,130,342,110,279,240,621,640,2565,520,2399,1160,4964,940,4731,960,4962,1890,9692,1000,5597,910,5387,1910,10984,940,5695,930,5482,1870,11176,920,5844,930,5676,1850,11520,1040,7160,1040,6910,2080,14069,1220,8461,1220,7638,2440,16099,1160,7517,1060,7267,2210,14783,900,5892,770,4968,1680,10860,710,4663,510,3210,1220,7873,380,2239,290,1678,660,3917,460,3070,480,2916,940,5986
57,Taxable income assessed,Revenu imposable établi,2012, 13160,646347,13150,521672,26320,1168046,600,6774,600,5514,1200,12288,1140,32877,1030,19989,2170,52865,1210,50927,1380,43124,2580,94073,1250,59593,1220,47064,2470,106657,1100,60196,1240,50504,2330,110703,1070,61544,1170,53932,2240,115476,1170,71579,1270,63995,2430,135573,1380,82065,1420,70860,2800,152925,1320,84743,1270,62947,2590,147690,1080,61482,980,44674,2060,106156,880,39057,660,24734,1540,63792,450,15790,360,10781,800,26571,540,19720,570,23556,1110,43276
58,Basic personal amount,Montant personnel de base,2012, 13480,145394,13430,144865,26910,290276,610,6539,610,6614,1220,13153,1160,12537,1040,11232,2200,23769,1230,13206,1400,15045,2630,28257,1270,13585,1250,13444,2520,27029,1120,12093,1260,13588,2390,25692,1090,11762,1200,12926,2290,24688,1210,13067,1290,13981,2500,27048,1440,15574,1460,15798,2900,31371,1380,14880,1320,14215,2690,29096,1110,11985,1000,10817,2110,22802,880,9483,670,7184,1540,16667,450,4851,360,3837,800,8688,540,5832,570,6184,1110,12016
59,Age amount,Montant en raison de l'âge,2012, 1690,9439,1490,8707,3180,18146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,3996,610,3289,1370,7285,410,2308,340,1968,750,4277,510,3135,550,3450,1070,6584
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 870,6482,410,2930,1280,9412,,,,,,,20,168,,,30,217,70,536,30,215,100,750,100,729,40,284,130,1013,110,867,50,393,160,1260,110,797,40,322,150,1118,90,749,50,399,140,1148,100,777,70,515,160,1292,90,684,60,347,150,1031,80,606,40,248,120,854,40,308,20,85,60,393,30,132,,,30,169,,,,,,
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 250,2576,1040,10670,1290,13246,,,,,,,,,70,763,80,806,20,197,130,1345,150,1542,30,255,160,1692,190,1948,40,451,190,2003,230,2454,50,504,190,1865,240,2369,50,495,170,1707,220,2201,40,357,90,861,130,1218,20,144,20,223,40,366,,,10,107,20,168,,,,,,,,,,,,,,,,,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 1860,7100,2080,7280,3940,14382,,,10,30,10,33,30,66,120,312,140,378,130,416,240,818,370,1234,270,1028,320,1239,590,2268,390,1656,430,1736,820,3394,350,1466,390,1391,740,2857,310,1210,330,1048,640,2258,230,771,160,481,400,1252,100,326,50,129,150,455,40,109,20,57,50,166,10,37,,,20,65,,,,,,,,,,,,
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, ,,,,10,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 9630,16182,9560,15008,19190,31191,280,172,,,560,287,1050,1227,870,771,1920,1998,1120,1802,1200,1688,2320,3491,1130,1974,1050,1680,2180,3655,980,1821,1040,1763,2020,3584,940,1747,1020,1799,1960,3546,1020,1931,1110,2010,2130,3941,1150,2142,1230,2271,2380,4413,1000,1882,990,1747,1990,3629,650,1106,610,946,1260,2052,280,365,170,211,450,576,,,,,,,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1080,1114,850,673,1920,1787,,,,,,,50,32,30,8,70,41,70,59,70,38,140,97,100,83,70,51,170,133,100,114,100,77,200,191,90,103,90,73,180,176,110,134,110,107,210,241,180,201,110,111,290,312,160,185,150,116,310,301,150,143,90,82,240,226,70,57,20,8,90,64,,,,,,,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 9580,5968,9740,5705,19320,11673,520,114,500,92,1020,206,1050,502,890,339,1940,841,1120,692,1200,665,2320,1358,1120,738,1050,638,2170,1376,950,659,1030,651,1980,1310,890,620,990,661,1880,1281,960,684,1060,727,2030,1410,1070,739,1190,817,2260,1556,890,626,950,634,1840,1260,590,377,580,348,1170,725,310,169,230,106,530,276,80,36,50,23,130,59,30,10,20,5,50,15
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 110,333,20,63,130,396,,,,,,,,,,,,,,,,,,,20,51,,,20,63,20,48,,,20,54,,,,,10,30,10,42,,,20,45,20,48,,,20,57,10,30,,,10,33,,,,,,,,,,,,,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 10750,11613,10760,11587,21510,23202,590,627,560,600,1150,1227,1090,1191,950,1028,2040,2218,1160,1259,1260,1370,2420,2630,1170,1277,1110,1202,2280,2480,1010,1100,1100,1195,2120,2296,970,1057,1060,1145,2030,2202,1060,1146,1150,1248,2210,2394,1200,1307,1290,1398,2480,2705,1060,1150,1090,1164,2150,2314,750,803,710,755,1460,1559,430,447,310,322,740,769,150,147,80,84,230,231,110,102,80,76,190,178
72,Public transit amount,Montant pour le transport en commun,2012, 260,75,320,95,580,169,10,3,30,4,40,6,70,18,90,20,160,39,40,11,60,17,90,28,40,12,20,12,60,24,10,3,10,5,30,8,20,6,20,7,30,13,10,5,30,9,40,13,10,4,20,6,30,10,10,4,20,8,30,13,20,4,20,4,30,9,20,4,,,20,5,,,,,,,,,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 860,449,790,390,1640,839,,,,,,,,,,,10,2,30,8,50,13,80,21,100,39,100,40,200,79,200,98,200,100,400,198,190,111,180,98,370,209,170,107,150,84,320,191,100,51,80,42,180,93,40,22,20,10,60,32,20,9,,,20,10,,,,,,,,,,,,,,,,,,
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 340,178,300,144,640,322,,,,,,,,,,,,,,,10,4,20,6,30,11,20,9,50,20,70,33,70,34,140,68,80,42,70,40,150,82,80,49,70,32,150,81,40,21,40,19,80,40,20,11,,,30,14,10,6,,,10,8,,,,,,,,,,,,,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 150,706,140,624,290,1330,,,,,,,20,98,10,50,30,148,40,184,40,158,80,342,40,178,40,156,80,333,20,100,20,100,40,200,,,10,65,20,93,10,50,,,10,65,,,,,20,71,,,,,10,60,,,,,,,,,,,,,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 1570,2989,1670,3207,3240,6196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,10,28,,,30,46,30,59,50,90,90,179,140,269,180,345,230,439,410,785,310,589,360,686,660,1275,390,761,370,703,760,1464,290,553,230,428,520,980,330,617,350,672,680,1289
77,Caregiver amount,Montant pour aidants naturels,2012, 30,126,40,203,70,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,46,,,,,,,,,,,10,71,,,,,10,42,,,,,20,79,,,,,,,,,,,,,,,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 190,1396,210,1563,390,2959,,,,,,,10,91,,,20,143,,,10,83,20,151,,,,,,,,,10,83,20,113,,,20,136,20,181,10,91,10,98,30,189,20,143,20,166,40,309,20,158,30,196,50,355,20,181,30,226,50,407,20,158,10,85,30,243,10,90,10,97,30,187,40,264,40,294,70,558
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 80,841,80,768,160,1609,,,,,,,,,,,,,,,,,,,,,10,173,20,227,20,182,,,30,275,20,188,20,192,30,380,20,166,,,20,260,,,,,10,124,,,,,10,108,,,,,20,138,,,,,,,,,,,,,,,,,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 250,129,480,268,720,397,,,,,,,10,3,40,19,60,23,80,49,140,90,220,138,80,45,140,84,220,129,40,17,80,43,110,60,20,5,40,15,50,20,10,6,10,7,20,13,,,20,6,20,7,,,10,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 820,4519,1360,7005,2170,11524,40,181,50,172,100,353,280,1552,340,1978,620,3530,160,1031,330,2133,490,3164,120,879,190,1037,310,1917,60,295,120,493,180,788,50,189,100,408,150,597,50,190,80,378,130,568,30,145,70,190,100,336,10,33,50,176,60,209,20,21,20,23,30,43,,,,,,,,,,,,,,,,,,
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 210,1047,170,774,370,1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,52,20,74,40,205,40,183,80,389,70,331,50,250,120,580,50,283,40,196,90,479,30,163,20,69,40,232,,,,,,,,,,,,,,,,,,
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 380,1850,300,1343,680,3193,,,,,,,,,,,,,20,72,,,30,118,30,115,20,74,50,190,20,81,20,64,40,145,20,80,10,59,40,140,20,88,20,60,40,148,20,86,20,102,40,187,20,97,40,172,60,269,40,163,50,202,80,365,50,265,40,227,100,492,50,250,30,172,80,423,90,542,30,142,130,684
84,Medical expenses,Montant admissible des frais médicaux,2012, 700,1663,1000,2160,1700,3823,,,,,10,9,,,,,40,47,30,39,70,99,100,138,40,55,70,83,110,138,50,112,90,213,140,325,70,136,100,266,160,402,70,163,110,253,180,416,80,177,130,280,210,457,110,269,150,309,260,578,110,291,140,313,250,604,70,222,60,167,130,389,30,63,20,60,50,123,30,109,30,89,60,198
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 13480,33330,13430,33911,26910,67244,610,1155,610,1154,1220,2308,1160,2637,1040,2501,2200,5138,1230,2950,1400,3578,2630,6529,1270,3176,1250,3293,2520,6470,1120,2965,1260,3402,2390,6369,1090,2845,1200,3237,2290,6082,1210,3091,1290,3376,2500,6468,1440,3462,1460,3549,2900,7011,1380,3186,1320,3031,2690,6217,1110,2516,1000,2250,2110,4765,880,2460,670,1875,1540,4334,450,1275,360,1016,800,2291,540,1613,570,1649,1110,3262
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 2260,3355,2870,3135,5130,6490,,,,,,,,,,,,,120,134,210,81,330,215,170,197,210,141,380,339,200,213,280,180,480,393,200,205,250,178,450,382,240,273,330,281,570,553,280,417,390,373,670,790,310,604,420,624,720,1228,290,474,310,579,600,1053,200,432,190,295,390,727,90,218,90,149,180,367,100,147,130,234,230,381
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 2250,923,2860,847,5110,1770,,,,,10,1,,,,,120,15,110,37,210,20,320,56,170,54,210,37,380,91,200,58,280,47,480,104,200,55,250,46,450,102,240,74,330,74,570,148,280,115,390,100,670,215,310,168,420,172,720,340,290,131,310,161,600,291,200,121,190,81,390,201,90,61,90,41,180,102,100,40,130,65,230,105
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 13480,34253,13430,34758,26910,69015,610,1155,610,1154,1220,2309,1160,2647,1040,2505,2200,5153,1230,2987,1400,3597,2630,6585,1270,3230,1250,3330,2520,6560,1120,3023,1260,3448,2390,6473,1090,2900,1200,3284,2290,6184,1210,3165,1290,3451,2500,6616,1440,3577,1460,3648,2900,7225,1380,3354,1320,3203,2690,6557,1110,2646,1000,2410,2110,5057,880,2581,670,1955,1540,4536,450,1336,360,1057,800,2393,540,1653,570,1714,1110,3367
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 1810,4091,1830,2679,3640,6771,,,,,10,33,,,40,59,70,95,70,54,,,120,100,90,71,70,112,160,183,80,199,90,148,170,347,130,333,130,221,260,554,150,316,200,321,360,637,230,376,280,328,510,704,320,828,310,435,620,1263,290,850,270,370,560,1220,210,545,180,304,380,849,110,201,80,72,190,273,100,262,130,250,230,512
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 30,180,20,32,40,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,
93,Basic federal tax ,Impôt fédéral de base,2012, 10110,82674,9340,57648,19450,140324,170,259,,,290,380,730,2821,450,944,1180,3765,990,5753,950,3728,1950,9483,1040,7290,920,4870,1960,12160,960,7781,960,5367,1910,13148,930,8189,940,6278,1880,14467,1030,10208,1080,7949,2100,18157,1200,11706,1220,8725,2420,20432,1120,12478,1060,7867,2190,20345,880,8498,800,5369,1690,13868,580,4271,410,2231,1000,6502,260,1305,190,806,450,2111,230,2115,,,450,5506
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 390,306,400,127,780,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,40,71,,,80,113,40,42,70,13,110,55,70,17,70,19,140,36,,,70,15,140,47,40,9,50,4,90,12,30,13,20,5,50,18,20,4,20,2,40,6
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 230,45,180,29,410,75,,,,,,,,,,,,,,,,,10,2,,,,,20,3,,,10,1,,,,,,,20,3,20,4,20,4,30,8,20,5,20,3,40,8,30,6,40,5,70,11,40,8,20,4,60,12,40,8,20,2,60,11,20,5,10,2,40,7,20,5,20,4,40,10
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 30,146,,,30,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 10,23,10,42,20,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Net federal tax,Impôt fédéral net,2012, 10100,82179,9320,57491,19420,139672,170,259,,,290,380,730,2820,450,944,1180,3764,990,5752,950,3721,1940,9475,1040,7263,920,4853,1960,12116,960,7776,960,5363,1910,13140,930,8098,940,6275,1880,14373,1020,10117,1070,7903,2100,18020,1200,11615,1220,8708,2420,20323,1120,12454,1060,7842,2180,20297,880,8383,800,5350,1680,13734,580,4255,410,2225,990,6480,260,1287,190,800,450,2087,230,2100,,,450,5485
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1080,2228,850,1347,1920,3575,,,,,,,50,65,30,17,70,82,70,118,70,76,140,195,100,165,70,101,170,266,100,228,100,153,200,381,90,206,90,146,180,352,110,268,110,214,210,482,180,403,110,222,290,625,160,369,150,233,310,602,150,287,90,165,240,451,70,113,20,15,90,128,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 450,978,190,447,640,1425,,,,,,,20,29,,,20,29,30,26,10,10,40,36,40,46,10,10,50,56,30,39,,,40,44,30,37,,,30,45,20,16,,,20,24,30,40,,,40,50,20,27,,,20,28,20,36,,,30,46,140,425,80,229,220,654,50,142,30,90,80,232,30,115,30,68,60,183
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 10090,37333,9310,26060,19400,63394,170,111,,,290,160,730,1292,450,436,1180,1728,990,2629,950,1720,1940,4349,1040,3324,920,2202,1960,5527,960,3525,960,2455,1910,5980,930,3702,950,2853,1880,6555,1030,4594,1080,3603,2110,8197,1200,5327,1210,3930,2410,9256,1120,5646,1070,3504,2180,9150,860,3768,800,2422,1660,6190,580,1895,410,977,980,2872,260,570,190,349,440,919,230,952,,,450,2512
103,Total tax payable,Total à payer,2012, 10380,126203,9590,88139,19970,214345,170,399,,,300,581,750,4343,460,1470,1210,5813,1000,8813,980,5661,1980,14477,1060,11184,950,7356,2010,18539,980,11966,980,8288,1960,20254,950,12483,970,9588,1930,22071,1050,15489,1100,12088,2160,27577,1250,17850,1250,13402,2490,31252,1170,18929,1110,11968,2280,30897,910,12719,820,8303,1720,21022,600,6795,430,3544,1030,10339,260,2051,190,1257,450,3309,240,3182,,,460,8215
