#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 10065940,27317905,1121530,2117498,737810,1522368,909620,2114668,919760,2454415,709600,2010416,564400,1616163,547110,1583149,533990,1544604,512740,1474887,446480,1285297,386330,1117907,337510,982854,555260,1619181,427900,1248981,333660,991056,271720,824996,480580,1526321,177550,628708,92380,654436
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 1459280,2932391,4430,11,3320,23,18000,1325,37220,5401,65290,12719,67920,19284,81210,28011,91010,39834,99030,52115,89910,61248,81000,67863,74580,63998,134880,142059,112630,132261,90980,121475,76410,105577,178880,408654,90170,430351,62410,1240181
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1350,12528,,,,,,,,,20,15,20,21,20,28,10,26,20,43,20,55,30,100,30,96,70,330,90,520,70,459,90,633,360,3274,340,4741,130,2179
92,Minimum tax carryover,Report d'impôt minimum,2012, 13110,41709,,,,,90,19,220,107,360,231,420,411,500,633,500,894,540,1096,500,1155,470,1131,480,1289,980,2467,940,2313,730,1715,660,1427,2350,5757,1940,6680,1470,14384
93,Basic federal tax ,Impôt fédéral de base,2012, 6192380,48103487,2420,1476,5250,1794,123240,24669,291060,150752,410590,354041,432950,597237,479290,912754,496290,1234779,489860,1520657,431640,1646098,375970,1735537,331350,1813032,547970,3720913,424740,3650169,332010,3444534,270690,3263596,478540,8024314,176670,5474588,91870,10532548
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 537270,464750,30,10,120,34,2560,128,8330,576,16420,1066,19950,1658,26130,2562,30300,3461,33830,4438,31080,5235,28110,6009,26410,6747,49150,17044,43300,19175,35450,19494,30630,19592,76580,71719,43740,69060,35160,216743
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 64480,10692,,,,,160,13,540,56,1520,162,1990,226,2810,340,3410,433,3920,497,3590,489,3390,466,3510,500,6640,1002,5630,900,4550,759,3900,653,9400,1783,5320,1199,4220,1214
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 17400,39200,,,,,,,240,30,280,53,290,89,380,145,390,171,480,213,490,227,440,307,430,323,900,715,900,740,810,756,810,757,2860,3514,2860,5528,4750,25625
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 1570,854,,,,,,,,,20,8,40,18,40,17,60,30,70,36,80,40,100,52,100,49,160,88,150,79,140,76,120,65,300,176,140,85,50,32
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 10000,61850,30,1134,,,,,,,10,31,,,10,44,20,32,20,40,20,134,30,38,40,65,130,278,340,229,700,469,760,688,3230,5257,2250,10714,2400,42607
99,Net federal tax,Impôt fédéral net,2012, 6173950,47604034,2260,1486,5020,1808,121190,24607,288890,150181,409120,352827,432050,595291,478340,909734,495390,1230713,489020,1515503,430890,1640140,375210,1728753,330680,1805446,546740,3702154,423710,3629358,331200,3423544,269980,3242647,476830,7947484,175940,5399494,91490,10302865
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 666920,1024548,13890,1729,96960,33511,112570,76944,82570,83218,61170,78889,46920,74002,37900,67128,32760,63521,28940,60951,24200,54042,18340,46501,13780,39010,19760,60271,14110,45925,10340,35262,7660,26851,20150,75131,13120,52100,11800,49561
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 197690,567331,,,,,,,,,,,,,,,,,,,,,,,1890,502,15290,12351,40820,30889,31850,50523,22150,53714,49950,209835,22070,128292,13670,81215
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 6420130,26726161,2930,770,6220,964,26890,2822,250310,56621,539310,219952,528490,393687,532430,517043,526670,651548,508270,819232,443270,881391,384240,932829,336210,957541,553820,1901818,427150,1820817,333240,1742404,271420,1698533,479880,4501732,177170,3239298,92210,6387156
103,Total tax payable,Total à payer,2012, 6833640,75922865,17610,3988,103540,36306,207560,104421,337190,290083,561280,651738,534010,1063051,534810,1493974,527830,1945854,509000,2395746,443770,2575641,384550,2708135,336430,2802539,554070,5676649,427420,5527020,333380,5251756,271520,5021759,480100,12734214,177280,8819190,92310,16820799
