#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 56400,68114,50140,43854,106550,111969,240,101,200,117,440,218,920,166,710,122,1630,288,1430,595,1030,309,2460,904,1920,1454,1370,650,3280,2103,2560,2500,1780,1588,4340,4089,3320,4557,2520,2652,5830,7209,4460,8238,3370,3357,7820,11595,5760,8690,4750,4806,10510,13495,6690,10517,5600,6074,12290,16592,6810,9341,5610,5808,12420,15149,6340,7509,5130,5023,11470,12533,5050,5147,4460,3859,9510,9006,10900,9299,13650,9488,24550,18788
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33480,31342,22710,14713,56200,46068,430,109,270,46,700,155,1860,990,1170,394,3030,1384,2730,2115,1850,1018,4580,3135,3040,2775,2190,1350,5220,4126,3310,3256,2560,1730,5870,4988,3530,3585,2740,1926,6270,5512,3860,4011,2940,2121,6800,6133,4580,4817,3170,2286,7740,7103,4610,4804,2870,2034,7480,6843,3930,3811,2230,1472,6160,5285,1460,1010,670,312,2130,1322,140,58,70,24,220,81,,,,,,
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 1420,22571,630,7005,2050,29576,,,,,,,,,,,,,,,,,10,143,20,319,,,30,370,40,386,20,195,60,581,70,1003,30,266,100,1269,110,2584,50,623,150,3207,160,2591,60,820,220,3410,230,3549,110,1296,340,4845,230,3400,80,1186,310,4586,180,3409,80,747,250,4156,150,1602,50,467,200,2070,230,3600,140,1333,370,4933
41,Other employment expenses,Autres dépenses d'emploi,2012, 23460,114753,8610,24768,32070,139521,240,334,90,62,330,396,1380,3604,530,761,1910,4365,2130,7522,830,1762,2950,9284,2330,9696,880,2200,3210,11896,2610,12589,980,2578,3580,15167,2790,15575,1040,3209,3840,18784,3150,16819,1240,4105,4390,20924,3190,18020,1210,3976,4400,21996,2640,14788,950,3404,3590,18192,1730,9753,550,1819,2290,11573,860,4160,200,630,1060,4790,270,1306,70,180,340,1486,150,585,30,83,180,669
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 1350,16299,310,3332,1660,19631,,,,,,,10,83,,,20,110,70,676,30,180,100,856,100,1111,20,107,120,1218,130,1485,20,217,150,1702,160,2002,40,441,200,2443,150,2006,30,373,180,2379,190,2457,60,650,240,3106,200,2700,50,674,250,3374,160,2115,40,471,200,2586,90,965,20,166,110,1131,40,356,,,50,382,50,343,,,50,343
43,Other deductions,Autres déductions,2012, 9910,19546,10910,33781,20830,53352,100,21,110,61,220,82,460,226,480,234,930,461,710,399,810,514,1520,913,760,612,960,683,1720,1318,730,505,890,596,1620,1101,840,805,890,824,1730,1630,890,1033,960,1526,1860,2559,930,1348,1100,1540,2030,2888,960,1044,1050,2987,2010,4030,1000,1530,960,1515,1970,3045,880,994,780,2839,1650,3833,550,3123,580,7311,1130,10435,1100,7906,1350,13151,2450,21057
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 274400,1679988,253430,1034331,527850,2714358,3640,2038,3130,1258,6770,3295,15750,25288,14510,17897,30250,43185,22560,69314,22450,64385,45010,133701,24820,103859,24630,95575,49450,199458,25720,134587,25080,113934,50800,248524,26480,156299,25930,119576,52420,275877,28850,190303,28240,135798,57100,326101,31530,222997,30310,154366,61840,377363,28520,225920,26460,142175,54990,368100,22510,189940,19270,89841,41780,279783,16140,144987,11250,45403,27390,190391,10280,90441,6590,23185,16870,113626,17610,124014,15570,30940,33180,154954
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 8250,23341,4290,12891,12550,36232,,,,,,,,,,,,,390,479,10,11,400,490,330,395,30,27,360,423,260,329,30,27,290,356,230,271,30,24,260,296,250,293,30,40,280,333,300,390,40,50,340,440,270,393,50,55,330,447,240,327,50,88,290,414,2540,8216,1320,3625,3860,11841,1280,4717,870,2743,2150,7460,1980,7322,1820,6199,3800,13521
46,Net income after adjustments,Revenu net après rajustements,2012, 451380,19537536,477220,14376627,929110,33915495,22020,228137,21740,177252,43840,405442,41800,914733,41450,636301,83460,1551207,40350,1375997,40160,981595,80590,2357846,38090,1581353,38970,1085065,77110,2666612,36790,1787361,37610,1175373,74440,2962954,37360,1942994,38100,1313845,75480,3256926,39920,2195429,40490,1514397,80420,3709865,42450,2420008,42830,1659878,85280,4079921,38650,2189722,39360,1510470,78020,3700335,32720,1684028,34290,1230901,67020,2914968,26740,1224871,28070,917481,54810,2142352,18940,735863,21000,651121,39940,1387021,35550,1257040,53160,1522948,88710,2780045
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 80,1647,10,185,90,1832,,,,,,,,,,,,,,,,,,,10,241,,,20,307,10,224,,,10,248,20,282,,,20,282,,,,,10,381,10,353,,,10,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 470,18463,190,1491,660,19954,,,,,,,,,10,10,20,12,40,82,20,22,50,104,30,58,30,54,60,112,50,308,30,111,80,419,60,478,20,121,90,599,80,1585,30,275,110,1860,80,2618,20,296,90,2915,70,3390,30,470,90,3860,40,3480,,,50,3610,,,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 51640,271025,68930,397999,120570,669026,950,3088,1100,4460,2050,7547,2870,11602,3970,25089,6840,36691,2700,12089,3600,28219,6300,40308,2600,13407,3320,28857,5920,42263,2590,14856,2870,23965,5460,38821,2840,17585,2730,21213,5560,38798,3230,22096,2800,18925,6030,41021,3500,24575,2700,17158,6200,41736,3170,23569,2460,16759,5620,40328,2910,22593,4180,25444,7090,48037,6550,32123,7440,35228,13990,67350,5620,25219,7050,33519,12670,58737,12120,48225,24710,119163,36830,167388
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 460,3936,360,2038,820,5974,,,,,,,,,,,10,26,20,84,20,64,40,147,40,310,40,176,70,486,50,274,40,341,90,616,60,489,40,183,110,672,70,453,60,358,120,812,70,676,50,348,120,1024,60,760,40,174,110,935,50,428,40,229,90,658,20,224,10,127,30,351,10,134,,,20,154,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 7470,15883,7140,10263,14610,26147,10,3,10,2,20,4,70,29,40,22,110,50,140,125,80,41,220,166,210,150,130,69,330,219,240,227,180,348,420,575,410,679,240,285,650,965,570,937,430,351,1000,1288,770,1794,710,820,1470,2614,970,2608,870,1317,1840,3925,1050,2224,1040,1444,2090,3668,950,2598,930,1151,1870,3749,750,1365,780,1086,1530,2451,1350,3143,1710,3328,3060,6471
52,Capital gains deduction,Déduction pour gains en capital,2012, 2380,165541,1710,107852,4090,273393,20,2146,20,1447,50,3593,40,1363,20,731,60,2094,70,5036,30,605,100,5642,70,3054,60,2809,130,5863,100,5698,50,2427,150,8125,120,8414,70,6068,190,14482,180,15574,140,9458,320,25032,280,19880,210,13964,490,33844,300,20809,220,13500,520,34309,310,22605,230,15561,540,38166,280,18586,200,10882,480,29468,200,13106,150,7944,340,21049,410,29268,320,22457,730,51726
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 9550,31215,6320,16503,15870,47719,100,135,110,126,200,262,540,1230,400,821,940,2051,920,2710,650,1593,1560,4303,880,3031,590,1517,1470,4548,890,3238,570,1524,1450,4762,920,3297,630,1746,1550,5043,1100,3860,690,1831,1790,5691,1180,4150,710,1903,1890,6053,1040,3509,660,1826,1690,5336,770,2528,450,1213,1230,3741,530,1568,290,810,820,2378,320,916,220,614,540,1530,370,1042,370,980,740,2022
54,Additional deductions,Déductions supplémentaires,2012, 2090,6560,2830,10115,4920,16675,,,,,,,,,,,,,20,752,10,144,30,896,20,330,20,304,40,634,20,313,,,30,394,20,255,10,31,30,286,,,10,14,,,30,580,20,220,50,800,20,113,30,391,60,505,70,346,100,375,160,720,290,609,360,1004,660,1613,420,594,480,1001,900,1595,1160,2424,1760,6464,2930,8888
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 790,9168,200,1719,990,10899,,,,,,,,,,,,,20,275,,,30,290,30,294,,,30,304,60,384,20,166,70,550,60,765,20,215,80,980,80,993,20,133,110,1126,120,1761,40,411,160,2171,130,2028,40,406,170,2434,110,1169,20,124,130,1293,70,585,20,153,90,738,60,573,10,45,70,618,40,305,,,40,357
56,Total deductions from net income,Total des déductions du revenu net,2012, 72410,523512,85410,548192,157820,1071718,1090,5400,1240,6043,2320,11443,3490,14365,4410,26756,7900,41121,3880,21259,4350,30692,8230,51963,3800,20874,4130,33863,7930,54737,3900,25527,3720,28988,7620,54515,4390,32245,3740,29863,8120,62108,5170,45998,4120,31462,9280,77460,5850,56389,4370,35119,10220,91511,5540,56914,4250,34844,9780,91758,5120,55383,5920,44519,11050,99902,8360,61299,8990,49361,17350,110661,7040,43386,8390,44227,15420,87612,14790,84472,27800,152456,42590,236928
57,Taxable income assessed,Revenu imposable établi,2012, 443990,19016385,468500,13829649,913000,32847352,21710,222738,21390,171216,43170,394007,41050,900374,40560,609566,81820,1510112,39690,1354775,39410,950946,79190,2305964,37500,1560508,38080,1051239,75630,2611940,36170,1761878,36760,1146465,72960,2908563,36600,1910878,37130,1284031,73750,3194996,38920,2149506,39490,1483090,78420,3632636,41410,2363906,41820,1624923,83240,3988862,37640,2133195,38430,1475757,76070,3609096,32250,1629053,33580,1186479,65830,2815572,26690,1163974,28030,868164,54720,2032138,18900,692816,20940,607002,39840,1299855,35460,1172784,52890,1370770,88360,2543611
58,Basic personal amount,Montant personnel de base,2012, 455030,4896932,480630,5175751,937270,10089356,22340,241150,22100,238576,44680,482122,42360,456011,41830,450392,85180,916870,40690,435285,40450,432373,81350,869781,38350,409364,39210,419306,77620,829314,37030,396411,37940,406649,75020,803518,37680,404368,38460,413378,76160,817949,40310,433951,40890,440753,81220,874833,42880,462609,43270,467112,86160,929795,39070,422032,39740,429260,78810,851367,32960,355995,34450,372248,67410,728297,26820,289770,28100,303614,54920,593403,18990,205261,21010,227078,40000,432350,35570,384724,53170,575011,88740,959757
59,Age amount,Montant en raison de l'âge,2012, 76740,456879,99470,616828,176220,1073737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24660,140405,27150,163561,51810,303978,18030,107382,20450,125571,38480,232959,34060,209091,51870,327697,85920,536800
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 53230,377892,17140,129409,70420,507737,70,604,70,607,140,1211,1690,12595,730,6051,2430,18737,4560,33160,1590,12444,6170,45763,6700,49227,1970,15401,8670,64650,6870,51043,1930,15524,8810,66659,6330,47847,2030,16287,8360,64142,5670,44240,2110,16921,7780,61164,5390,42483,2220,17381,7610,59881,4870,37667,1900,13698,6770,51386,4210,29979,1170,7310,5390,37311,2770,15235,620,3373,3390,18608,1480,6077,340,1909,1810,7986,2630,7737,470,2502,3100,10239
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 5820,59929,35010,364548,40830,424502,20,175,930,9989,950,10164,140,1433,4310,45715,4450,47148,330,3459,5140,54514,5470,57984,650,6878,5540,58699,6190,65577,1050,11073,5890,62129,6940,73203,1210,12609,5510,57645,6720,70268,1170,11970,4060,41147,5230,53117,720,7089,2160,21106,2880,28194,280,2834,760,7283,1050,10117,150,1416,310,2950,460,4366,50,495,180,1575,230,2070,30,278,100,883,130,1161,30,218,120,915,150,1133
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 79730,344343,62920,251110,142690,595578,70,160,1050,2635,1110,2795,1490,4776,5270,17287,6760,22066,5820,22623,8010,32833,13840,55495,12410,55386,11150,51105,23570,106508,16360,79710,12360,56242,28720,135983,16890,80379,11510,46856,28410,127245,14270,58971,8190,27985,22460,86965,8360,29529,3800,11439,12160,40980,2760,8777,1040,3052,3810,11832,870,2704,300,952,1170,3656,270,846,140,450,410,1296,120,328,70,199,190,527,50,155,30,76,80,231
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 470,2399,410,2121,880,4519,,,,,,,,,,,,,,,,,,,,,,,10,53,,,,,20,72,30,129,20,110,50,238,30,189,50,258,80,446,60,308,60,325,120,632,80,377,60,294,140,671,70,386,60,273,130,659,70,343,50,234,110,577,40,232,30,168,70,400,70,368,60,332,130,700
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 278660,450538,260710,348417,539370,798961,10100,4820,9570,2899,19670,7718,32490,32432,29580,20664,62070,53098,32550,48428,28500,34845,61060,83275,30970,52477,27190,37253,58160,89733,29760,53820,26900,39704,56660,93524,29690,54777,28320,43702,58000,98480,31310,58961,31190,49973,62500,108935,32760,62336,32680,53081,65440,115416,26980,49279,26560,41083,53540,90362,16860,27370,15910,21185,32760,48556,4920,5680,4090,3926,9000,9606,280,156,230,102,,,,,,,,
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33480,31342,22710,14713,56200,46068,430,109,270,46,700,155,1860,990,1170,394,3030,1384,2730,2115,1850,1018,4580,3135,3040,2775,2190,1350,5220,4126,3310,3256,2560,1730,5870,4988,3530,3585,2740,1926,6270,5512,3860,4011,2940,2121,6800,6133,4580,4817,3170,2286,7740,7103,4610,4804,2870,2034,7480,6843,3930,3811,2230,1472,6160,5285,1460,1010,670,312,2130,1322,140,58,70,24,220,81,,,,,,
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 279330,168994,268020,138289,547360,307285,15720,3211,14970,2383,30690,5594,33230,13698,30730,9607,63960,23306,32640,18853,29190,14261,61830,33114,30410,19678,27450,14644,57860,34322,28740,19629,26830,15353,55570,34983,28350,19720,28030,16733,56380,36453,29650,21017,30610,18987,60260,40004,30510,21894,31760,19934,62270,41827,24780,17114,25620,15366,50400,32480,15480,9633,15340,8046,30820,17679,6940,3464,5780,2435,12710,5899,2110,822,1350,441,3460,1263,790,262,370,99,1160,361
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 1300,3885,80,243,1380,4128,20,63,,,20,72,120,345,,,120,366,170,522,,,180,540,190,558,,,190,582,170,519,10,33,180,552,160,462,10,42,170,504,150,441,20,45,160,486,140,420,,,140,432,90,279,10,36,110,315,50,150,,,50,150,30,90,,,30,93,,,,,,,,,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 315030,335375,296100,316010,611150,651406,18900,20090,18040,19122,36940,39212,35080,37902,32730,35127,67820,73035,34200,37066,30820,33141,65020,70211,32150,34874,29220,31404,61380,66286,30680,33311,28580,30741,59260,64053,30520,33143,29700,32067,60210,65210,32220,34989,32370,35070,64600,70062,33830,36723,34060,36902,67890,73626,28780,30761,28610,30726,57390,61488,19830,20319,18740,19581,38570,39900,10590,10050,8450,8294,19040,18344,4490,3794,2760,2427,7250,6221,3760,2353,2020,1406,5780,3758
72,Public transit amount,Montant pour le transport en commun,2012, 21510,11812,23960,13157,45560,25008,910,311,1420,463,2360,779,3010,1315,4180,1794,7240,3133,2770,1468,2970,1568,5760,3043,2580,1450,2340,1366,4920,2818,2230,1299,2030,1220,4260,2520,2310,1381,2120,1266,4430,2647,2490,1473,2470,1541,4950,3014,2140,1296,2270,1463,4410,2759,1410,906,1690,1164,3100,2069,800,536,1060,732,1860,1268,400,190,540,256,940,445,200,80,290,114,490,194,260,107,570,211,830,318
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 33410,17998,21550,10658,54960,28656,10,4,,,20,5,70,20,210,42,280,62,990,280,1340,377,2330,657,4160,1585,3770,1480,7920,3065,8100,4341,5600,2924,13690,7265,8820,5381,5400,3124,14220,8505,6840,4051,3610,1943,10440,5994,3220,1736,1320,634,4540,2370,890,444,250,104,1130,548,220,114,40,16,260,130,70,31,20,9,90,40,20,8,10,5,30,13,10,2,,,10,2
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 12160,6268,7160,3394,19320,9662,,,,,,,20,5,30,7,40,12,200,62,250,78,450,140,1070,436,970,356,2050,792,2810,1312,1790,832,4600,2143,3520,1917,2100,1110,5620,3027,2730,1569,1360,695,4090,2263,1300,696,530,259,1830,954,370,199,100,46,470,245,100,51,10,5,110,56,30,16,,,40,20,,,,,10,6,,,,,,
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 5190,24675,2860,12960,8050,37648,40,195,10,68,50,263,870,4208,420,1854,1290,6073,1490,7086,920,4181,2410,11271,970,4574,550,2503,1510,7078,660,3126,350,1537,1000,4663,460,2185,240,1077,700,3261,340,1633,180,803,520,2436,210,1011,110,521,330,1532,80,378,40,205,120,583,30,151,30,128,60,279,20,89,,,30,131,,,,,,,,,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 75530,144212,96030,181882,171560,326102,30,49,20,36,60,85,30,45,40,57,70,102,30,37,20,29,50,66,30,47,50,62,80,109,50,68,120,212,170,280,190,349,300,533,490,882,440,812,790,1505,1230,2319,1300,2498,2560,4951,3860,7450,5670,11058,8470,16532,14150,27591,10670,20860,13580,26527,24250,47387,16190,30965,18330,35143,34520,66108,14050,26948,15590,29686,29640,56636,26840,50476,36160,66609,63000,117087
77,Caregiver amount,Montant pour aidants naturels,2012, 3200,17467,2780,14186,5980,31654,,,,,,,30,171,20,96,,,60,321,40,166,100,487,130,663,100,545,230,1208,220,1270,140,788,360,2058,340,1850,310,1712,650,3563,490,2718,480,2498,970,5216,610,3364,560,2917,1170,6281,520,2848,400,1964,920,4812,360,1916,330,1524,680,3440,210,1092,180,823,390,1916,110,603,100,523,210,1125,130,650,130,613,250,1263
78,Disability amount ,Montant pour personnes handicapées,2012, 21750,164132,26070,196566,47810,360698,320,2652,160,1310,480,3962,630,4714,390,2925,1020,7639,560,4191,400,3036,960,7228,530,4006,440,3294,970,7300,600,4532,530,3988,1130,8521,720,5383,780,5912,1500,11295,1150,8657,1130,8479,2270,17136,1450,10894,1700,12846,3150,23740,1910,14428,2250,16925,4160,31353,2370,17807,2520,18983,4890,36791,2320,17451,2380,17897,4690,35349,2030,15269,2110,15916,4140,31185,7180,54147,11290,85053,18470,139200
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 5410,55476,5470,56775,10890,112252,,,,,,,40,365,60,763,,,130,1415,270,3249,400,4664,370,4317,620,7960,990,12278,760,9194,760,9341,1520,18535,910,10707,870,10183,1790,20890,900,9896,820,8493,1710,18389,770,7411,680,6128,1460,13539,570,4906,500,4009,1070,8914,390,3031,360,2630,740,5661,270,1983,230,1735,500,3718,140,1034,120,933,270,1966,170,1217,180,1308,350,2526
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 5800,2513,8960,4111,14750,6623,30,6,30,6,60,12,780,261,1210,423,1990,684,1650,732,2750,1381,4400,2112,1540,706,2320,1150,3860,1855,900,418,1240,571,2140,989,440,203,650,295,1090,498,230,98,390,148,620,247,130,47,230,84,370,131,70,28,100,36,170,64,20,7,40,15,60,22,,,,,,,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 26870,133221,32040,141529,58920,274795,1690,6130,1800,5434,3490,11565,9570,47311,10730,51507,20310,98845,6590,41003,7100,41139,13690,82154,3360,18341,3780,16473,7140,34814,1960,8225,2690,9775,4650,18005,1380,5202,2050,6796,3430,11999,960,3335,1690,5196,2650,8531,710,2167,1160,3320,1870,5487,350,992,610,1338,960,2330,190,372,240,380,430,752,70,103,110,122,180,225,30,30,40,25,70,55,10,11,50,23,60,34
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 11180,54371,7780,36013,18960,90383,,,,,,,,,,,,,,,,,10,34,30,46,20,27,50,73,100,288,140,462,240,750,640,2485,770,3036,1410,5520,2550,11900,2250,10175,4800,22075,3970,20198,2560,12792,6530,32990,2560,13124,1440,6803,4000,19927,950,4597,470,2130,1420,6727,260,1225,70,315,330,1539,70,334,10,58,90,392,40,161,40,157,70,319
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 25730,138751,18860,97841,44620,236705,10,47,50,140,70,189,450,1758,430,1545,890,3316,1080,4323,1250,5307,2340,9639,1360,5827,1620,8012,2990,13877,1440,6557,1720,9257,3180,15851,1300,5963,1640,8268,2940,14238,1150,5508,1200,5616,2360,11131,990,4911,1030,4953,2020,9864,1140,5833,1270,6932,2420,12765,1650,8055,2170,12046,3810,20101,2990,16240,2180,11910,5170,28150,3570,20648,1670,9152,5240,29799,8600,53082,2620,14704,11220,67785
84,Medical expenses,Montant admissible des frais médicaux,2012, 57590,132721,95440,204696,153040,337458,330,251,550,386,880,638,1350,1247,2590,2210,3940,3458,1920,2278,3590,3742,5510,6021,2360,3376,4390,5860,6750,9237,2860,4423,5240,7926,8100,12351,3290,5275,6170,9916,9460,15212,3950,6680,7120,11709,11060,18389,4650,8009,7930,13423,12580,21432,5360,10288,8700,15836,14060,26124,6220,13087,9840,20603,16060,33690,6880,15985,9410,20960,16290,36945,5800,14397,8050,18892,13850,33291,12620,47425,21880,73234,34500,120670
